----  Field Name Phenology: 
----  Field Level 2.0: 
----  Field Papers Number 4990:
----  All time max citation paper: Ecological responses to recent climate change, 2002, (3582.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|3.0|1.0|Journal of Dairy Science|Rumen digestion in the bovine with some observations on the digestibility of alfalfa hay.
1941|0|0.0|Journal of Dairy Science|The effect of alfalfa lipids upon the progress of sweet clover poisoning in cattle.
1947|4.0|4.0|Journal of Dairy Science|Effects of High Vitamin A Intake on Milk and Fat Yields and on Vitamin A Constituents in Milk, Blood, and Livers of Dairy Cows1
1948|5.0|3.0|Journal of Dairy Science|Comparative Antirachitic Value of FieldCured Hay, BarnDried Hay, and Wilted Grass Silage for Growing Dairy Calves
1950|7.0|3.5|Journal of Dairy Science|The effect of rumen inoculations on the digestibility of roughages in young dairy calves.
1951|3.0|2.5|Journal of Dairy Science|The Relationship of Stage of Lactation, Pasturage and Environmental Temperature to the Degree of Unsaturation of Cow Milk Fat1
1952|12.0|6.5|British Journal of Nutrition|The Fatty Acids Present in the Rumen of Lambs Fed on a Flaked Maize Ration
1953|4.0|4.0|Journal of Dairy Science|Antibiotics in Rumen Digestion and Synthesis. I. The Effect of Aureomycin on Rumen Digestion and the Passage of Nutrients from the Rumen during Specific Intervals after Feeding1
1954|2.0|2.0|Journal of Dairy Science|The Effects of Varied Rates of Hay Feeding on Body Weight and Production of Lactating Dairy Cows1
1956|7.0|6.0|Journal of Dairy Science|Relation between Age of Calf, Blood Glucose, Blood and Rumen Levels of Volatile Fatty Acids, and in Vitro Cellulose Digestion1,2
1957|5.0|3.0|Journal of Dairy Research|677. The effect of variations in nutrient intake upon the yield and composition of milk: I. Variations in the amount and type of concentrates fed in winter rations
1958|2.0|1.0|Journal of Dairy Science|Effect of Initial Vitamin A Status on Subsequent Response of Holstein Calves to Carotene Intake from Artificially Dehydrated Alfalfa1
1959|10.0|4.0|Journal of Dairy Science|Studies on the Relationships between Rumen Acids and Fat Metabolism of Ruminants Fed on Restricted Roughage Diets1
1960|10.0|2.0|Journal of Dairy Science|Effect of Varying Alfalfa HayConcentrate Ratios in a Pelleted Ration for Dairy Cows
1961|8.0|1.0|Journal of Dairy Science|Further Comparisons of Alfalfa Hay and Alfalfa Silage for Growing Dairy Heifers
1962|7.0|6.0|British Journal of Nutrition|The assimilation of ammonia nitrogen by bacteria of the rumen of sheep
1963|6.0|3.5|Journal of Dairy Science|Ensiling Characteristics of Coastal Bermudagrass Harvested at the Prehead and Full-Head Stages of Growth1
1964|9.0|2.0|Journal of Dairy Science|Effect of Level of Lactose upon Lactase Concentrations in the Small Intestines of Young Calves
1965|6.0|0.0||The feed intake of milk cows II. The effect of roughage quality during late pregnancy and lactation
1966|6.0|2.0|Journal of Dairy Science|Comparison of Milo and Barley for Lactating Cows1
1967|13.0|2.0|Journal of Dairy Science|Acetate production in the rumen of cows fed either control or low-fiber, high-grain diets.
1968|5.0|1.0|Journal of Dairy Science|Effect of Grinding, Pelleting, and Frequency of Feeding of Forage on Fat Percentage of Milk and Milk Production of Dairy Cows1
1969|21.0|4.5|Journal of Dairy Science|Enzyme and Metabolite Levels in Mammary and Abdominal Adipose Tissue of Lactating Dairy Cows1,2
1970|15.0|1.0|British Journal of Nutrition|Observations on the microbiology and biochemistry of the rumen in cattle given different quantities of a pelleted barley ration
1971|8.0|2.0|Journal of Dairy Science|Addition of Soybeans or Methionine Analog to High-Concentrate Rations for Dairy Cows1
1977|2.0|2.0|Grass and Forage Science|Comparisons of some factors affecting digestibility in sheep and cows
1978|1.0|1.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|On the accuracy of the distance message in the dances of honey bees.
1980|22.0|3.0|Australian Journal of Plant Physiology|Adaptation to water stress of the leaf water relations of four tropical forage species.
1982|3.0|3.0|Forest Ecology and Management|Development of canopy stratification during early succession in northern hardwoods
1983|2.0|2.0|Ecological Entomology|A comparative analysis of Chrysoperla carnea catches in light and suctiontraps
1984|3.0|3.0|Marine Ecology|Temporal and Morphological Variations of Growth in a Natural Stand of Posidonia oceanica (L.) Delile*
1985|8.0|1.0|New Phytologist|REPRODUCTIVE ECOLOGY OF BANKSIA GRANDIS (PROTEACEAE)
1986|8.0|2.0|Human Ecology|Cattle and pastoralism: survival and production in arid lands
1987|5.0|2.0|International Journal of Tropical Insect Science|Impact of the exotic parasitoid Epidinocarsis lopezi on cassava mealybug (Phenacoccus manihoti) populations.
1988|18.0|1.5|American Journal of Botany|Germination ecophysiology of herbaceous plant species in a temperate region.
1989|4.0|2.0|Annals of Applied Biology|The overwintering of cereal aphids on Gramineae in southern England, 1977-1980.
1990|17.0|2.0|Journal of Dairy Science|Effects of Fat Supplementation and Immature Alfalfa to Concentrate Ratio on Lactation Performance of Dairy Cattle
1991|9.0|2.0|Mathematical Geosciences|Inversion of dynamical indicators in quantitative basin analysis models. I, Theoretical considerations
1992|8.0|3.0|Journal of Volcanology and Geothermal Research|Subsurface andesite lavas and plutonic rocks in the Rotokawa and Ngatamariki geothermal systems, Taupo Volcanic Zone, New Zealand
1993|21.0|2.0|Journal of Dairy Science|In Situ Dry Matter, Protein, and Fiber Degradation of Perennial Forages
1994|12.0|3.0|New Phytologist|Mycorrhizal fungus propagules in the jarrah forest
1995|16.0|3.0|Journal of Geophysical Research|Climate change on the Colorado Plateau of eastern Utah inferred from borehole temperatures
1996|22.0|2.5|Agricultural and Forest Meteorology|Remote sensing of net primary production in boreal forest stands
1997|23.0|2.0|Agricultural and Forest Meteorology|Radiation regime and canopy architecture in a boreal aspen forest
1998|29.0|3.0|Plant Cell and Environment|Photosynthesis and conductance of springwheat leaves: field response to continuous freeair atmospheric CO2 enrichment
1999|44.0|4.0|Trends in Ecology and Evolution|Climate change and trophic interactions
2000|77.0|4.0|Trends in Ecology and Evolution|Biological consequences of global warming: is the signal already apparent?
2001|67.0|4.5|Nature|Warm tropical ocean surface and global anoxia during the mid-Cretaceous period
2002|734.0|6.0|Nature|Ecological responses to recent climate change
2003|56.0|5.0|Perspectives in Plant Ecology Evolution and Systematics|Plants in a warmer world
2004|65.0|4.0|Advances in Ecological Research|Arrival and Departure Dates
2005|70.0|5.5|Molecular Ecology|Population structure attributable to reproductive time: isolation by time and adaptation by time
2006|881.0|7.0|Annual Review of Ecology, Evolution, and Systematics|Ecological and Evolutionary Responses to Recent Climate Change
2007|194.0|5.0|Ecology Letters|Global warming and the disruption of plantpollinator interactions
2008|179.0|10.0|Ecology|CLIMATE CHANGE UNCOUPLES TROPHIC INTERACTIONS IN AN AQUATIC ECOSYSTEM
2009|283.0|7.0|Agronomy for Sustainable Development|Plant drought stress: Effects, mechanisms and management
2010|211.0|7.0|Science|Phenology Under Global Warming
