----  Field Name Plant anatomy: 
----  Field Level 2.0: 
----  Field Papers Number 1383:
----  All time max citation paper: A handbook of protocols for standardised and easy measurement of plant functional traits worldwide, 2003, (966.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|12.0|7.0|Annals of Applied Biology|The cuticles of some Angiosperm leaves and fruits
1971|0|0.0|Journal of The American Water Resources Association|UNDERSTANDING A WATERSHED FROM THE BIOLOGICAL VIEWPOINT1
1974|1.0|1.0|Protoplasma|Structure and function in the ligule of Selaginella kraussiana. I. Fine structure and development
1980|24.0|3.5|Botanical Review|Calcium oxalate crystals in plants.
1981|14.0|14.0|Environmental and Experimental Botany|Chromosome instability in cell and tissue cultures and regenerated plants
1982|5.0|5.0|Biological Journal of The Linnean Society|Size and shape as ecological discriminants in successional communities of Heteroptera
1984|1.0|1.0|Agricultural Wastes|Physical and mechanical properties of Sorghum ( Sorghum bicolor ) stalk harvested at various intervals after grain maturity
1985|2.0|1.5|Ecological Entomology|Plant structure and the foraging success of Aphidius rhopalosiphi (Hymenoptera: Aphidiidae)
1986|2.0|1.5|New Phytologist|PHYSIOLOGICAL AND ANATOMICAL ASPECTS OF PHOTOSYNTHESIS OF TWO AGROSTIS SPECIES AT A SUBANTARCTIC ISLAND
1987|1.0|1.0|American Journal of Botany|Embryology and systematic position of Heteropyxis (Myrtales)
1988|2.0|2.0|Annals of the Missouri Botanical Garden|Rhizophoraceae and Anisophylleaceae: summary statement, relationships
1989|3.0|2.0|Botanical Review|The system of grasses (Poaceae) and their evolution
1990|3.0|1.0||Contributions to the Biomechanics of Plants. I. Stabilities of Plant Stems with Strengthening Elements of Different CrossSections Against Weight and Wind Forces*
1991|6.0|2.0|Entomologia Experimentalis Et Applicata|Foraging patterns of two aphid parasitoids, Lysiphlebus testaceipes and Aphidius colemani on banana
1992|4.0|3.0||Structure and development of the potato plant
1993|21.0|3.0|American Journal of Botany|Molecular systematics of Saxifragaceae sensu stricto.
1994|21.0|5.5|Advances in Agronomy|Morphological and physiological traits associated with wheat yield increases in Mediterranean environments
1995|4.0|3.0|Botanical Journal of the Linnean Society|Comparative vegetative anatomy and classification of Diseae (Orchidaceae)
1996|7.0|1.0|American Journal of Botany|Sun-shade adaptability of the red mangrove, Rhizophora mangle (Rhizophoraceae): changes through ontogeny at several levels of biological organization.
1997|22.0|4.5|Theoretical and Applied Genetics|AFLP analysis of relationships among cassava and other Manihot species
1998|13.0|3.0|Plant Physiology|Directional Guidance of Nicotiana alataPollen Tubes in Vitro and on the Stigma
1999|11.0|6.0|Journal of the Science of Food and Agriculture|Hydroxycinnamic acids in the digestive tract of livestock and humans
2000|35.0|4.0|Journal of Experimental Botany|Rapid effects of nitrogen form on leaf morphogenesis in tobacco.
2001|52.0|4.0|Australian Journal of Botany|The breakup history of Gondwana and its impact on pre-Cenozoic floristic provincialism
2002|22.0|3.5|Australian Journal of Botany|Post-fire response of shrubs in the tablelands of eastern Australia: do existing models explain habitat differences?
2003|93.0|6.0|Australian Journal of Botany|A handbook of protocols for standardised and easy measurement of plant functional traits worldwide
2004|29.0|4.0|Australian Journal of Botany|Quantification of the susceptibility of the native flora of the South-West Botanical Province, Western Australia, to Phytophthora cinnamomi
2005|205.0|4.0||Insect-plant biology.
2006|69.0|6.0|Functional Plant Biology|The role of root architectural traits in adaptation of wheat to water-limited environments
2007|47.0|7.0|Australian Journal of Botany|Phytophthora cinnamomi invasion, a major threatening process to conservation of flora diversity in the South-west Botanical Province of Western Australia
2008|282.0|5.0|Australian Journal of Botany|'Breathing' of the terrestrial biosphere: lessons learned from a global network of carbon dioxide flux measurement systems
2009|83.0|5.0|Proceedings of the National Academy of Sciences of the United States of America|A comprehensive picture of phloem loading strategies.
2010|71.0|4.0|Australian Journal of Botany|Savanna woody plant dynamics: the role of fire and herbivory, separately and synergistically
