----  Field Name Population biology: 
----  Field Level 2.0: 
----  Field Papers Number 1058:
----  All time max citation paper: Universal primers for amplification of three non-coding regions of chloroplast DNA., 1991, (2091.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|0|0.0|Nature|Evolutionary History and Population Biology
1969|0|0.0|Integrative and Comparative Biology|Of Foxes and Hedgehogs: The Interface Between Organismal and Populational BiologyII
1972|4.0|4.0|Journal of Fish Biology|Population biology of the helminth parasites of Phoxinus phoxinus (L.), the minnow, in a Cardiganshire lake
1973|1.0|1.0|Journal of the Marine Biological Association of the United Kingdom|The Population Biology of Lacuna Pallidula (Da Costa) and Lacuna Vincta (Montagu) in North-East England
1974|3.0|3.0|Journal of Fish Biology|The population biology of the acanthocephalan Pomphorhynchus laevis (Mller) in the River Avon
1976|2.0|2.0|Journal of Fish Biology|Population biology of parasites of striped mullet, Mugil cephalus L. I. Monogenea
1977|11.0|6.5|Journal of Experimental Marine Biology and Ecology|The influence of sessile organisms on the population biology of three species of Acmaeid limpets
1978|2.0|1.0|Parasitology|Population biology of Paragonimus kellicotti metacercariae in central Ohio
1979|46.0|1.5|Nature|Population biology of infectious diseases: Part II
1980|31.0|3.5|The American Naturalist|Food Habits, Energetics, and the Population Biology of Mammals
1981|7.0|3.0|Icarus|Galactic civilizations: Population dynamics and interstellar diffusion
1982|30.0|2.0|Behavioral Ecology and Sociobiology|Population biology of White-crowned Sparrows: Residence time and local movements of juveniles
1983|13.0|6.0|Proceedings of The Royal Society of London. Series B, Biological Sciences (1934-1990)|Epidemiology and Genetics in the Coevolution of Parasites and Hosts
1984|4.0|1.0|Journal of Experimental Marine Biology and Ecology|Life history and population biology of the giant ostracod Leuroleberis zealandica (Baird, 1850) (Myodocopida)
1985|10.0|3.0|Parasitology Today|The population biology of Ostertagia ostertagi
1986|8.0|4.0||The Population Biology of Invaders
1987|12.0|2.0|Parasitology|A mathematical model of the population biology of Ostertagia ostertagi in calves and yearlings
1988|133.0|2.0|Behavioral and Brain Sciences|A framework for the functional analysis of behaviour
1989|44.0|2.5|Evolution|Gene trees and organismal histories: a phylogenetic approach to population biology
1990|19.0|3.5|BioScience|Application of PCR: Organismal and Population Biology
1991|22.0|4.0|Plant Molecular Biology|Universal primers for amplification of three non-coding regions of chloroplast DNA.
1992|121.0|4.0|Ecology|The Problem of Pattern and Scale in Ecology
1993|14.0|3.0|Demography|The contours of demography: Estimates and projections
1994|18.0|3.0|Biological Conservation|Managing wildlife to conserve Amazonian forests: population biology and economic considerations of game hunting.
1995|22.0|4.0|Trends in Ecology and Evolution|Detecting disease and parasite threats to endangered species and ecosystems
1996|64.0|2.5|Trends in Ecology and Evolution|Sources and sinks in population biology
1997|14.0|4.0|Molecular and Cellular Probes|Differentiation of Oesophagostomum bifurcum from Necator americanus by PCR using genetic markers in spacer ribosomal DNA
1998|29.0|4.5|Advances in Parasitology|Population Biology of Parasitic Nematodes: Applications of Genetic Markers
1999|63.0|6.0|Emerging Infectious Diseases|Emerging infectious diseases and amphibian population declines
2000|116.0|5.5|Trends in Ecology and Evolution|Efficient genetic markers for population biology
2001|18.0|4.0|Theoretical Population Biology|Realistic Distributions of Infectious Periods in Epidemic Models: Changing Patterns of Persistence and Dynamics
2002|373.0|6.5|Trends in Ecology and Evolution|Inbreeding effects in wild populations
2003|496.0|16.5|Annual Review of Ecology, Evolution, and Systematics|The Population Biology of Invasive Species
2004|342.0|10.5|Journal of Bacteriology|eBURST: Inferring Patterns of Evolutionary Descent among Clusters of Related Bacterial Genotypes from Multilocus Sequence Typing Data
2005|98.0|6.0|Biological Journal of The Linnean Society|Towards integrative taxonomy
2006|68.0|10.5|Biological Invasions|Integrating the study of non-native plant invasions across spatial scales.
2007|192.0|9.0|Ecology|MICROBIAL STRESS-RESPONSE PHYSIOLOGY AND ITS IMPLICATIONS FOR ECOSYSTEM FUNCTION
2008|287.0|7.0|Ecological Monographs|Biological Invasion by Myrica Faya in Hawai'i: Plant Demography, Nitrogen Fixation, Ecosystem Effects
2009|256.0|9.0|Nucleic Acids Research|PlasmoDB: a functional genomic database for malaria parasites
2010|145.0|6.0|BMC Genomics|Massively parallel pyrosequencing-based transcriptome analyses of small brown planthopper (Laodelphax striatellus), a vector insect transmitting rice stripe virus (RSV)
