----  Field Name Positive psychology: 
----  Field Level 2.0: 
----  Field Papers Number 13215:
----  All time max citation paper: The Satisfaction with Life Scale, 2010, (2415.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1950|1.0|1.0|Eos, Transactions American Geophysical Union|Laws of soil moisture
1956|0|0.0|Arctic|Some Factors Affecting the Extent of Ice in the Barents Sea Area
1960|1.0|0.5|Physiologia Plantarum|Ion Absorption in Young Sunflower Plants I. Uptake and Transport Mechanisms for Sulphate
1966|1.0|1.0|Clays and Clay Minerals|QUANTITATIVE CLAY MINERALOGICAL ANALYSIS OF SOILS AND SEDIMENTS
1969|3.0|2.5|Journal of Hydrology|BLUEPRINT FOR A PHYSICALLY-BASED, DIGITALLY-SIMULATED HYDROLOGIC RESPONSE MODEL
1970|2.0|0.0|Sociological Inquiry|Social Integration, Psychological WellBeing, and Their Socioeconomic Correlates*
1971|4.0|2.0|Transactions of the American Mathematical Society|Using flows to construct Hilbert space factors of function spaces
1972|9.0|4.0|Aeronautical Journal|THE UNDERSTANDING AND PREDICTION OF TURBULENT FLOW
1973|17.0|2.0|Journal of Fluid Mechanics|The laser-Doppler velocimeter and its application to the measurement of turbulence
1974|12.0|6.0|Journal of Fluid Mechanics|Turbulent/non-turbulent decisions in an intermittent flow
1975|3.0|1.0|Water Resources Research|Changes in storm hydrographs after road building and clearcutting in the Oregon Coast Range
1976|3.0|1.5|Journal of Hydrology|The drawdown near an abstraction well of large diameter under non-steady conditions in an unconfined aquifer
1977|4.0|1.5|Journal of Hydrology|Finite-element analysis of groundwater flow in multiaquifer systems, II. A quasi three-dimensional flow model
1978|12.0|3.0|Social Indicators Research|Cognition and affect in perceptions of well-being
1979|13.0|1.0|Social Indicators Research|The Structure of Subjective Well-Being in Nine Western Societies
1980|24.0|3.0|International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts|PERMEABILITY OF CRYSTALLINE AND ARGILLACEOUS ROCKS
1981|15.0|3.0|Journal of Personality and Social Psychology|Sex Role Orientation and Self-Esteem: A Critical Meta-Analytic Review.
1982|17.0|4.5|Magnetic Resonance Imaging|A flow velocity zeugmatographic interlace for NMR imaging in humans
1983|14.0|2.0||Fault-tolerance and two-level pipelining in VLSI systolic arrays
1984|115.0|3.0|Artificial Intelligence|Qualitative process theory
1985|17.0|1.0|Transactions of the American Mathematical Society|Connected Simple Systems and the Conley Index of Isolated Invariant Sets.
1986|21.0|3.0|Journal of Personality and Social Psychology|Role quality, multiple role involvement, and psychological well-being in midlife women.
1987|26.0|1.5|Cognitive Psychology|Stimulus Structures and Mental Representations in Expert Comprehension of Computer Programs.
1988|34.0|4.0|American Psychologist|Psychological well-being of primates in captivity.
1989|164.0|2.0|Psychological Review|Health complaints, stress, and distress: exploring the central role of negative affectivity.
1990|33.0|3.0|Journal of Fluid Mechanics|Structure of turbulence at high shear rate
1991|23.0|2.0|Social Indicators Research|Is happiness relative?
1992|52.0|2.0|Cognitive Therapy and Research|Effects of optimism on psychological and physical well-being : theoretical overview and empirical update
1993|41.0|3.0|Magnetic Resonance in Medicine|Pitfalls in MR measurement of tissue blood flow with intravascular tracers: Which mean transit time?
1994|47.0|4.0|symposium on principles of programming languages|A type-theoretic approach to higher-order modules with sharing
1995|45.0|3.0|Journal of Personality and Social Psychology|Factors predicting the subjective well-being of nations
1996|97.0|6.0|Journal of Cerebral Blood Flow and Metabolism|Enlarged infarcts in endothelial nitric oxide synthase knockout mice are attenuated by nitro-L-arginine.
1997|158.0|6.0|Journal of Cerebral Blood Flow and Metabolism|Ischemic Brain Injury Is Mediated by the Activation of Poly(ADP-Ribose)Polymerase
1998|125.0|6.0|Journal of Cerebral Blood Flow and Metabolism|Magnetic resonance imaging of acute stroke.
1999|115.0|7.0|Journal of Cerebral Blood Flow and Metabolism|A Potential Role for Erythropoietin in Focal Permanent Cerebral Ischemia in Mice
2000|129.0|7.0|American Psychologist|Subjective well-being. The science of happiness and a proposal for a national index.
2001|216.0|6.0|American Psychologist|The role of positive emotions in positive psychology. The broaden-and-build theory of positive emotions.
2002|172.0|9.0|Journal of Social Issues|Internet Paradox Revisited
2003|238.0|10.0|Annual Review of Psychology|On Happiness and Human Potentials: A Review of Research on Hedonic and Eudaimonic Well-Being
2004|258.0|8.0|Molecular Ecology|Genetic assignment methods for the direct, realtime estimation of migration rate: a simulationbased exploration of accuracy and power
2005|350.0|8.0|Psychological Bulletin|The Benefits of Frequent Positive Affect: Does Happiness Lead to Success?.
2006|320.0|8.0|Journal of Economic Perspectives|Developments in the Measurement of Subjective Well-Being
2007|654.0|8.0|Journal of Computer-Mediated Communication|The Benefits of Facebook Friends: Social Capital and College Students Use of Online Social Network Sites
2008|356.0|9.0|Journal of Economic Psychology|Do we really know what makes us happy? A review of the economic literature on the factors associated with subjective well-being
2009|264.0|9.0|Journal of Clinical Psychology|Enhancing wellbeing and alleviating depressive symptoms with positive psychology interventions: a practicefriendly metaanalysis
2010|2415.0|9.0|Journal of Personality Assessment|The Satisfaction with Life Scale
