----  Field Name Primary education: 
----  Field Level 2.0: 
----  Field Papers Number 11647:
----  All time max citation paper: Stereotype threat and the intellectual test performance of African Americans, 1995, (1907.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1959|0|0.0|Review of Educational Research|Chapter I: Aims of Elementary Education
1966|1.0|1.0|Elementary School Journal|The Case for Teaching Sound-to-Letter Correspondences in Spelling.
1967|0|0.0|Journal of Experimental Education|ORAL DRILLS AND WRITING IMPROVEMENT IN THE FOURTH GRADE.
1969|5.0|0.0|The Reading Teacher|The CRAFT Project: A Final Report.
1970|5.0|1.0|Journal of Experimental Child Psychology|Children's Shift Performance in the Absence of Dimensionality and a Learned Representational Response.
1971|6.0|0.5|Review of Educational Research|Manipulating Incentives to Enhance School Learning.
1972|10.0|2.0|Journal of Experimental Child Psychology|Concept Attainment, Transfer, and Retention Through Observation and Rule-Provision.
1973|13.0|1.0|Journal of Experimental Child Psychology|Developmental changes in apportionment of study time among items in a multitrial free recall task
1974|13.0|0.0|Journal of Learning Disabilities|An Observational Analysis of Classroom Behaviors of Children with Learning Disabilities.
1975|13.0|1.0|Advances in Child Development and Behavior|The Development of Spatial Representations of Large-Scale Environments
1976|28.0|1.0|Cognitive Psychology|Classes and collections: Internal organization and resulting holistic properties
1977|20.0|2.0|Child Development|Verbal Rehearsal and Short-Term Memory in Reading-disabled Children.
1978|29.0|2.0|Reading Research Quarterly|What classroom observations reveal about reading comprehension instruction
1979|57.0|2.0|Journal of Experimental Child Psychology|The development of analogical reasoning processes
1980|49.0|1.0|Journal of Experimental Child Psychology|The Development of Grapheme-Phoneme Correspondence in Normal and Dyslexic Readers.
1981|54.0|2.0|Journal of Experimental Child Psychology|A longitudinal study of sentence context effects in second-grade children: Tests of an interactive-compensatory model
1982|38.0|2.0|Child Development|Elaboration and Memory Development.
1983|69.0|1.5|Child Development|Behavioral Antecedents of Peer Social Status.
1984|48.0|2.0|Educational Researcher|Some Reflections on the Acquisition of Knowledge
1985|28.0|2.0|Journal of Experimental Child Psychology|Utilization of static and kinetic information for depth by young Malaians
1986|23.0|2.0|Journal of Experimental Child Psychology|Children's Use of Analogy in Learning to Read: A Developmental Study.
1987|29.0|2.0|Review of Educational Research|Ability Grouping and Student Achievement in Elementary Schools: A Best-Evidence Synthesis
1988|89.0|2.0|Reading Research Quarterly|Effects of an Extensive Program for Stimulating Phonological Awareness in Preschool Children.
1989|55.0|2.0|Elementary School Journal|The Challenges of Classroom Strategy Instruction.
1990|42.0|2.0|Journal of Experimental Child Psychology|Belief revision in children: The role of prior knowledge and strategies for generating evidence
1991|47.0|1.0|Reading Research Quarterly|Does Phoneme Awareness Training in Kindergarten Make a Difference in Early Word Recognition and Developmental Spelling?.
1992|44.0|1.0|Child Development|A Family Process Model of Economic Hardship and Adjustment of Early Adolescent Boys
1993|80.0|2.0|Child Development|Toward a Synthesis of Parental Socialization and Child Temperament in Early Development of Conscience
1994|145.0|1.0|Educational Researcher|Constructing Scientific Knowledge in the Classroom.
1995|94.0|2.0|Journal of Personality and Social Psychology|Stereotype threat and the intellectual test performance of African Americans
1996|41.0|2.0|Journal for Research in Mathematics Education|Sociomathematical Norms, Argumentation, and Autonomy in Mathematics.
1997|39.0|2.0|Developmental Psychology|Changing Relations between Phonological Processing Abilities and Word-Level Reading as Children Develop from Beginning to Skilled Readers: A 5-Year Longitudinal Study.
1998|93.0|2.0|Journal of Educational Psychology|The Role of Instruction in Learning To Read: Preventing Reading Failure in At-Risk Children.
1999|95.0|2.0|JAMA Pediatrics|Preventing Adolescent Health-Risk Behaviors by Strengthening Protection during Childhood.
2000|46.0|3.0|Social Science & Medicine|Socioeconomic factors, material inequalities, and perceived control in self-rated health: cross-sectional data from seven post-communist countries.
2001|87.0|3.0|Journal of Learning Disabilities|Intensive Remedial Instruction for Children with Severe Reading Disabilities Immediate and Long-term Outcomes From Two Instructional Approaches
2002|79.0|4.0|American Psychologist|School Readiness: Integrating Cognition and Emotion in a Neurobiological Conceptualization of Children's Functioning at School Entry.
2003|103.0|4.0|Journal of Educational Psychology|Sense of Relatedness as a Factor in Children's Academic Engagement and Performance.
2004|105.0|4.0|Quarterly Journal of Economics|Local Capture: Evidence From a Central Government Transfer Program in Uganda
2005|102.0|4.0|Public Health|Body mass index in elementary school children, metropolitan area food prices and food outlet density
2006|78.0|3.0||Repositioning nutrition as central to development: a strategy for large-scale action.
2007|79.0|4.0|Journal of Educational Psychology|Dimensions of Teacher Self-Efficacy and Relations with Strain Factors, Perceived Collective Teacher Efficacy, and Teacher Burnout.
2008|109.0|4.0|Child & Family Behavior Therapy|The evolution of discipline practices: School-wide positive behavior supports
2009|323.0|5.0|Cognition and Instruction|Inquiry, Modeling, and Metacognition: Making Science Accessible to All Students
2010|161.0|5.0|Journal of Experimental Education|Teachers' Sense of Efficacy and Commitment to Teaching.
