----  Field Name Primary health care: 
----  Field Level 2.0: 
----  Field Papers Number 12914:
----  All time max citation paper: Validation and Utility of a Self-report Version of PRIME-MD: The PHQ Primary Care Study, 1999, (2242.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1959|0|0.0|American Journal of Public Health|Twenty-one years experience with a public health contraceptive service.
1966|0|0.0||Child-Rearing Practices, Nutrition and Health Status
1971|0|0.0|American Journal of Public Health|A conceptual framework for consideration in the utilization of health aides.
1972|6.0|6.0|JAMA Pediatrics|Measles antibody in previously immunized children: the need for revaccination.
1973|4.0|4.0|The Journal of Pediatrics|Failures of protection by measles vaccine
1974|4.0|4.0|Medical Care|Primary Health Care: A Review of the Literature Through 1972
1975|1.0|0.0|Medical Care|Health and economic development: the example of China and Cuba.
1976|5.0|5.0|Population Studies-a Journal of Demography|The Child Survival hypothesis.
1977|0|0.0|Journal of Biosocial Science|Social and behavioural aspects of breast-feeding
1978|4.0|2.0|Medical Care|The Demand for Primary Health Care:
1979|14.0|3.5|The New England Journal of Medicine|Pertussis vaccine -- an analysis of benefits risks and costs.
1980|24.0|6.5|The Lancet|Dietary supplementation of Gambian nursing mothers and lactational performance.
1981|85.0|0.0|The Lancet|Outcome for infants of very low birthweight: survey of world literature.
1982|7.0|1.0|Social Science & Medicine|Selective primary health care: is efficient sufficient?
1983|104.0|2.0|The Lancet|PERTUSSIS: HERD IMMUNITY AND VACCINATION COVERAGE IN ST LUCIA
1984|11.0|2.0|JAMA|Pertussis and pertussis vaccine: reanalysis of benefits risks and costs.
1985|14.0|2.0|American Journal of Public Health|Benefits, risks and costs of immunization for measles, mumps and rubella.
1986|75.0|3.0|The Lancet|Field trial of oral cholera vaccines in Bangladesh.
1987|23.0|2.0|The Lancet|Energy requirements of pregnancy in The Gambia.
1988|27.0|2.0|The Lancet|COMPARISON OF TWO STRATEGIES FOR CONTROL OF MALARIA WITHIN A PRIMARY HEALTH CARE PROGRAMME IN THE GAMBIA
1989|58.0|1.0|The Lancet|PASSIVE IMMUNISATION OF CHILDREN WITH BOVINE COLOSTRUM CONTAINING ANTIBODIES TO HUMAN ROTAVIRUS
1990|43.0|2.0|The Lancet|Field trial of oral cholera vaccines in Bangladesh: results from three-year follow-up
1991|30.0|2.0|The Lancet|Outbreak of paralytic poliomyelitis in Oman: evidence for widespread transmission among fully vaccinated children
1992|40.0|2.0|JAMA|Tuberculosis and HIV infection in sub-Saharan Africa.
1993|112.0|3.0|Addiction|Brief interventions for alcohol problems: a review
1994|125.0|2.0|JAMA|Utility of a New Procedure for Diagnosing Mental Disorders in Primary Care: The PRIME-MD 1000 Study
1995|59.0|3.0|The Lancet|Efficacy trial of malaria vaccine SPf66 in Gambian infants
1996|34.0|2.0|JAMA|Current Trends in Physicians' Practice Arrangements: From Owners to Employees
1997|78.0|3.0|The Lancet|Randomised trial of Haemophilus influenzae type-b tetanus protein conjugate for prevention of pneumonia and meningitis in Gambian infants
1998|71.0|4.0|The New England Journal of Medicine|Primary care physicians' experience of financial incentives in managed-care systems.
1999|172.0|6.0|JAMA|Validation and Utility of a Self-report Version of PRIME-MD: The PHQ Primary Care Study
2000|245.0|6.0|JAMA|Impact of disseminating quality improvement programs for depression in managed primary care: a randomized controlled trial.
2001|94.0|6.0|Diabetes Care|Interventions to Improve the Management of Diabetes in Primary Care, Outpatient, and Community Settings A systematic review
2002|331.0|5.0|JAMA|Improving Primary Care for Patients With Chronic Illness
2003|221.0|7.0|The New England Journal of Medicine|Adverse drug events in ambulatory care.
2004|237.0|8.0|JAMA|Reducing Suicidal Ideation and Depressive Symptoms in Depressed Older Primary Care Patients: A Randomized Controlled Trial
2005|198.0|7.0|The New England Journal of Medicine|Prevalence and treatment of mental disorders, 1990 to 2003.
2006|275.0|8.0|JAMA|Rapid scale-up of antiretroviral therapy at primary care sites in Zambia: feasibility and early outcomes.
2007|199.0|9.0|Circulation|International day for the evaluation of abdominal obesity (IDEA) - A study of waist circumference, cardiovascular disease, and diabetes mellitus in 168 000 primary care patients in 63 countries
2008|405.0|10.0|The Lancet|What works? Interventions for maternal and child undernutrition and survival
2009|236.0|8.0|The Lancet|The health and health system of South Africa: historical roots of current public health challenges
2010|429.0|11.0|Bulletin of The World Health Organization|The worldwide incidence of preterm birth: a systematic review of maternal mortality and morbidity
