----  Field Name Product design: 
----  Field Level 2.0: 
----  Field Papers Number 4668:
----  All time max citation paper: Something Old, Something New: A Longitudinal Study of Search Behavior and New Product Introduction, 2002, (801.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|3.0|3.0|Journal of Pharmaceutical Sciences|Mathematical optimization techniques in drug product design and process analysis
1977|1.0|1.0|IEEE Transactions on Systems, Man, and Cybernetics|The Technology Utility Assessment
1978|1.0|1.0|Psychopharmacology|Cannabis interferes with nest-building behavior in mice.
1979|2.0|2.0|IEEE Computer|Special Feature: Interactive Graphics Teleconferencing
1980|13.0|8.5|design automation conference|System Facilities for CAD Databases
1981|7.0|6.0|IEEE Computer|A Survey of the State of the Art of Design Automation
1982|2.0|1.5|Journal of Business Research|DESIGNOR: A decision support procedure for industrial product design
1983|1.0|0.5|design automation conference|A Graphical Tool for Conceptual Design of Data Base Applications
1984|1.0|0.5|Applied Ergonomics|Standards for product safety design: a framework for their production
1985|18.0|2.5|Marketing Science|Models and Heuristics for Product Line Selection
1986|20.0|0.5|Marketing Science|A Constrained Unfolding Methodology for Product Positioning
1987|9.0|5.5|Ibm Journal of Research and Development|Solid modeling for production design
1988|10.0|0.0|Marketing Science|An Integer Programming Approach to the Optimal Product Line Selection Problem
1989|10.0|3.0|international conference on software engineering|Work Structures And Shifts: An Empirical Analysis Of Software Specification Teamwork
1990|26.0|1.0|Ai Magazine|Assembly Sequence Planning
1991|19.0|2.5|IEEE Transactions on Semiconductor Manufacturing|Process control system for VLSI fabrication
1992|29.0|1.0|IEEE Computer|The usability engineering life cycle
1993|37.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Spatial reasoning for the automatic recognition of machinable features in solid models
1994|42.0|3.0|Computer-aided Design|Product design for manufacture and assembly
1995|47.0|2.0|Proceedings of the IEEE|Power conscious CAD tools and methodologies: a perspective
1996|54.0|2.0|conference on computer supported cooperative work|Walking away from the desktop computer: distributed collaboration and mobility in a product design team
1997|23.0|2.0|Marketing Science|Customer Satisfaction, Productivity, and Profitability: Differences Between Goods and Services
1998|57.0|3.0|IEEE Transactions on Geoscience and Remote Sensing|The Moderate Resolution Imaging Spectroradiometer (MODIS): land remote sensing for global change research
1999|77.0|4.0|IEEE Transactions on Visualization and Computer Graphics|The ball-pivoting algorithm for surface reconstruction
2000|60.0|3.0|Journal of Mechanical Design|Development of a Functional Basis for Design
2001|47.0|3.0|Management Science|Appropriateness and Impact of Platform-Based Product Development
2002|75.0|4.0|Academy of Management Journal|Something Old, Something New: A Longitudinal Study of Search Behavior and New Product Introduction
2003|205.0|3.5|design automation conference|Parameter variations and impact on circuits and microarchitecture
2004|180.0|5.0|Progress in Organic Coatings|Antifouling technologypast, present and future steps towards efficient and environmentally friendly antifouling coatings
2005|105.0|4.0|design automation conference|Design methodology for IC manufacturability based on regular logic-bricks
2006|95.0|3.0|European Journal of Operational Research|A fuzzy optimization model for QFD planning process using analytic network approach
2007|90.0|3.0|Codesign|Contextmapping: experiences from practice
2008|176.0|3.0|Pharmaceutical Research|Pharmaceutical Quality by Design: Product and Process Development, Understanding, and Control
2009|365.0|3.0|Cancer|Integrated data from 2 randomized, doubleblind, placebocontrolled, phase 3 trials of active cellular immunotherapy with sipuleucelT in advanced prostate cancer
2010|247.0|4.5|Journal of Environmental Management|Environmentally conscious manufacturing and product recovery (ECMPRO): A review of the state of the art.
