----  Field Name Psychological resilience: 
----  Field Level 2.0: 
----  Field Papers Number 6275:
----  All time max citation paper: Item-based collaborative filtering recommendation algorithms, 2001, (1847.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1975|0|0.0||FATIGUE AND REPEATED-LOAD ELASTIC CHARACTERISTICS OF INSERVICE ASPHALT-TREATED MATERIALS
1980|10.0|10.0|American Journal of Orthodontics|Beta titanium: A new orthodontic alloy
1984|0|0.0||Development of a Preliminary ALRS Stabilized Material Pavement Analysis System (SPAS)
1985|14.0|14.0|symposium on operating systems principles|Reliable object storage to support atomic actions
1986|2.0|2.0|Computers & Security|Societal vulnerability to computer system failures
1987|15.0|4.0|International Journal for Parasitology|The genetics of resistance and resilience to Haemonchus contortus infection in young merino sheep
1988|29.0|6.5|Journal of Child Psychology and Psychiatry|Competence and stress in school children: the moderating effects of individual and family qualities.
1989|21.0|3.0|Biological Journal of The Linnean Society|The analysis of stress in natural populations
1990|10.0|0.0|IEEE Transactions on Computers|Network resilience: a measure of network fault tolerance
1991|9.0|6.5|Journal of Traumatic Stress|Strategies for assessing the potential for positive adjustment following trauma
1992|7.0|4.0|Journal of the American Academy of Child and Adolescent Psychiatry|Interviews with Children Who Experienced Major Life Stress: Family and Child Attributes that Predict Resilient Outcomes
1993|21.0|8.0|Journal of Paediatrics and Child Health|The impact of caring and connectedness on adolescent health and well-being.
1994|15.0|5.5|Journal of Child Psychology and Psychiatry|The Emanuel Miller Memorial Lecture 1992. The theory and practice of resilience.
1995|33.0|5.5|IEEE Transactions on Parallel and Distributed Systems|A family of fault-tolerant routing protocols for direct multiprocessor networks
1996|55.0|10.0|IEEE Transactions on Circuits and Systems for Video Technology|Packet loss resilience of MPEG-2 scalable video coding algorithms
1997|54.0|7.0|IEEE Journal on Selected Areas in Communications|Low-complexity video coding for receiver-driven layered multicast
1998|36.0|4.0|IEEE Transactions on Circuits and Systems for Video Technology|Error resilience support in H.263+
1999|24.0|6.0|IEEE Communications Magazine|Resilience in multilayer networks
2000|79.0|7.0|IEEE Journal on Selected Areas in Communications|Video coding with optimal inter/intra-mode switching for packet loss resilience
2001|275.0|6.5|international world wide web conferences|Item-based collaborative filtering recommendation algorithms
2002|111.0|8.5|international conference on computer communications|On multiple description streaming with content delivery networks
2003|183.0|7.0|Annual Review of Psychology|Emotions, Morbidity, and Mortality: New Perspectives from Psychoneuroimmunology
2004|93.0|5.5|theory and application of cryptographic techniques|Algebraic Attacks and Decomposition of Boolean Functions
2005|246.0|5.0|Annual Review of Environment and Resources|ADAPTIVE GOVERNANCE OF SOCIAL-ECOLOGICAL SYSTEMS
2006|294.0|6.0|Global Environmental Change-human and Policy Dimensions|Resilience: The emergence of a perspective for socialecological systems analyses
2007|206.0|8.0|Annual Review of Environment and Resources|Adaptation to Environmental Change: Contributions of a Resilience Framework
2008|366.0|6.0|Ecological Applications|CLIMATE CHANGE AND FORESTS OF THE FUTURE: MANAGING IN THE FACE OF UNCERTAINTY
2009|472.0|5.0|Biological Conservation|Biodiversity management in the face of climate change: A review of 22 years of recommendations
2010|422.0|7.0|Science|The Impact of Climate Change on the Worlds Marine Ecosystems
