----  Field Name Rational choice theory: 
----  Field Level 2.0: 
----  Field Papers Number 2539:
----  All time max citation paper: The framing of decisions and the psychology of choice, 1981, (5072.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|0|0.0|Management Science|A Note on Semi-Probabilistic Grading
1969|17.0|9.5|Journal of Economic Theory|Necessary and Sufficient Conditions for Rational Choice under Majority Decision
1970|2.0|2.0|Monthly Weather Review|THE RANKED PROBABILITY SCORE AND THE PROBABILITY SCORE: A COMPARISON1, 2
1971|11.0|3.0|Journal of the American Statistical Association|Probabilistic Prediction: Some Experimental Results
1972|16.0|16.0|Nature|Oxygen Isotope Profiles through the Antarctic and Greenland Ice Sheets
1973|3.0|2.5|Organizational Behavior and Human Performance|Psychological effects of proper scoring rules
1974|3.0|3.0|Journal of Environmental Economics and Management|The siting impasse and a rational choice model of regulatory behavior: An agency for power plant siting
1975|3.0|2.0|American Journal of Agricultural Economics|The Rational Choice of Share Leasing and Implications for Efficiency
1976|2.0|2.0|The Review of Economic Studies|Rational Choice and Revealed Preference
1977|5.0|5.0|Journal of Chemical Physics|On the use of generalized xray scattering factors for analysis of charge density from gasphase electron diffraction intensities
1978|38.0|23.0||Bounded Rationality, Ambiguity, and the Engineering of Choice
1979|5.0|2.5|International Journal of Environmental Analytical Chemistry|FINGERPRINTING MARINE POLLUTANT HYDROCARBONS BY COMPUTERIZED GAS CHROMATOGRAPHY-MASS SPECTROMETRY
1980|9.0|0.0|Memory & Cognition|The belief-bias effect in formal reasoning: The influence of knowledge on logic
1981|251.0|2.0|Science|The framing of decisions and the psychology of choice
1982|46.0|2.5|The Economic Journal|Regret Theory: An Alternative Theory of Rational Choice under Uncertainty
1983|9.0|0.0|Evaluation and Program Planning|Defining and measuring patient satisfaction with medical care
1984|4.0|2.5|Policy Sciences|TECHNOLOGY, BEHAVIOR, AND SAFETY: AN EMPIRICAL STUDY OF AUTOMOBILE OCCUPANT-PROTECTION REGULATION
1985|6.0|2.0|Journal of Criminal Justice|What works when: Rational-choice theory and offender rehabilitation
1986|43.0|7.0|The Journal of Business|Rational Choice and the Framing of Decisions
1987|42.0|2.0|national conference on artificial intelligence|Reactive reasoning and planning
1988|8.0|0.5|Journal of Economic Perspectives|Anomalies: The Winner's Curse
1989|68.0|1.0|Behavioral and Brain Sciences|Selfishness examined: Cooperation in the absence of egoistic incentives
1990|18.0|2.0|The New England Journal of Medicine|When competent patients make irrational choices.
1991|18.0|1.0|IEEE Transactions on Systems, Man, and Cybernetics|Cooperation and conflict resolution via negotiation among autonomous agents in noncooperative domains
1992|36.0|1.0|IEEE Intelligent Systems|An architecture for real-time reasoning and system control
1993|68.0|3.0|Journal of Behavioral Decision Making|Utility maximization and melioration: Internalities in individual choice
1994|17.0|2.0||Financial Decision-Making in Markets and Firms: A Behavioral Perspective
1995|95.0|1.0||BDI Agents: From Theory to Practice
1996|28.0|2.0|European Economic Review|Rational herding in financial economics
1997|16.0|1.0|Marketing Science|A Generalized Utility Model of Disappointment and Regret Effects on Post-Choice Valuation
1998|86.0|2.0||A behavioral approach to the rational choice theory of collective action
1999|28.0|3.0|Review of Economic Dynamics|Social Security Reform with Heterogeneous Agents
2000|470.0|2.0|American Psychologist|Choices, values, and frames
2001|28.0|2.0||An integrated modal approach to rational agents
2002|89.0|5.0|NeuroImage|Imaging the Intentional Stance in a Competitive Game
2003|256.0|4.0|Annual Review of Political Science|HISTORICAL INSTITUTIONALISM IN COMPARATIVE POLITICS
2004|67.0|4.0||An artificial intelligence perspective on autonomic computing policies
2005|307.0|3.0|Journal of Economic Literature|Neuroeconomics: How Neuroscience Can Inform Economics
2006|90.0|3.0|Applied Microbiology and Biotechnology|Overview of bacterial expression systems for heterologous protein production: from molecular and biochemical fundamentals to commercial systems
2007|313.0|2.0|Journal of the American Statistical Association|Strictly Proper Scoring Rules, Prediction, and Estimation
2008|124.0|3.0|Proceedings of the National Academy of Sciences of the United States of America|Endogenous steroids and financial risk taking on a London trading floor
2009|101.0|4.0|Renewable & Sustainable Energy Reviews|LCA of renewable energy for electricity generation systems--A review
2010|181.0|4.0|Research Policy|Ontologies, socio-technical transitions (to sustainability), and the multi-level perspective
