----  Field Name Recommender system: 
----  Field Level 2.0: 
----  Field Papers Number 8919:
----  All time max citation paper: Toward the next generation of recommender systems: a survey of the state-of-the-art and possible extensions, 2005, (2476.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1974|0|0.0|international joint conference on artificial intelligence|A SPEECH UNDERSTANDING SYSTEM BASED UPON A CO-ROUTINE PARSER
1978|5.0|5.0|Communications of The ACM|Cold-start vs. warm-start miss ratios
1979|2.0|1.0|Cognitive Science|User Modeling via Stereotypes*
1980|46.0|27.0|Communications of The ACM|The keystroke-level model for user performance time with interactive systems
1982|3.0|3.0|human factors in computing systems|User models of text editing command languages
1983|34.0|15.0|Communications of The ACM|The evaluation of text editors: methodology and empirical results.
1984|7.0|7.0|IEEE Transactions on Communications|Random Multiple-Access Communication and Group Testing
1985|23.0|6.0|international conference on robotics and automation|Warp as a machine for low-level vision
1986|15.0|2.0|meeting of the association for computational linguistics|The ROMPER system: responding to object-related misconceptions using perspective
1987|16.0|8.0||Implicit Acquisition of User Models in Cooperative Advisory Systems
1988|35.0|3.0|Computational Linguistics|Modeling the user's plans and goals
1989|37.0|9.5|IEEE Intelligent Systems|Explaining control strategies in problem solving
1990|80.0|2.0||User models in dialog systems
1991|64.0|2.5|IEEE Journal on Selected Areas in Communications|Modeling and performance comparison of policing mechanisms for ATM networks
1992|77.0|3.0|Communications of The ACM|Using collaborative filtering to weave an information tapestry
1993|30.0|5.0|IEEE Transactions on Circuits and Systems for Video Technology|Bandwidth-allocation schemes for variable-bit-rate MPEG sources in ATM networks
1994|89.0|4.5|IEEE Journal on Selected Areas in Communications|ATM-based transport architecture for multiservices wireless personal communication networks
1995|190.0|4.0|human factors in computing systems|Social information filtering: algorithms for automating word of mouth
1996|58.0|2.0|IEEE\/ACM Transactions on Networking|What are the implications of long-range dependence for VBR-video traffic engineering?
1997|197.0|3.0|Communications of The ACM|GroupLens: applying collaborative filtering to Usenet news
1998|195.0|3.0|uncertainty in artificial intelligence|Empirical analysis of predictive algorithms for collaborative filtering
1999|184.0|6.0|international acm sigir conference on research and development in information retrieval|An algorithmic framework for performing collaborative filtering
2000|98.0|4.0|conference on computer supported cooperative work|Explaining collaborative filtering recommendations
2001|275.0|5.0|international world wide web conferences|Item-based collaborative filtering recommendation algorithms
2002|120.0|4.0|international conference on management of data|Clustering by pattern similarity in large data sets
2003|279.0|4.0|IEEE Internet Computing|Amazon.com recommendations: item-to-item collaborative filtering
2004|586.0|4.0|ACM Transactions on Information Systems|Evaluating collaborative filtering recommender systems
2005|782.0|4.0|IEEE Transactions on Knowledge and Data Engineering|Toward the next generation of recommender systems: a survey of the state-of-the-art and possible extensions
2006|354.0|4.0|Personal and Ubiquitous Computing|Reality mining: sensing complex social systems
2007|227.0|4.0|international conference on machine learning|Learning to rank: from pairwise approach to listwise approach
2008|289.0|3.0|knowledge discovery and data mining|Factorization meets the neighborhood: a multifaceted collaborative filtering model
2009|414.0|3.0|Advances in Artificial Intelligence|A survey of collaborative filtering techniques
2010|516.0|4.0||Recommender Systems Handbook
