----  Field Name Reinforcement learning: 
----  Field Level 2.0: 
----  Field Papers Number 9181:
----  All time max citation paper: Reinforcement learning: a survey, 1996, (2158.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|6.0|6.0|Psychological Review|Learning theory and the acquisition of values
1968|3.0|3.0|Journal of Mathematical Analysis and Applications|Finite state continuous time Markov decision processes with an infinite planning horizon
1974|0|0.0|Quarterly Journal of Experimental Psychology|An apparatus for the automatic presentation of object discriminations to monkeys
1975|3.0|3.0|Stochastic Processes and their Applications|On stopped decision processes with discrete time parameter
1976|4.0|1.0||Regenerative Markov decision models
1977|1.0|1.0|International Journal of Game Theory|Discounted Markov games : successive approximation and stopping times
1978|3.0|2.0|Stochastic Processes and their Applications|Markov decision processes and strongly excessive functions
1979|3.0|1.0|Journal of Psychopathology and Behavioral Assessment|Self-reinforcement: An assessment of external influences
1980|3.0|1.0|Mathematics of Operations Research|Accretive Operators and Markov Decision Processes
1981|7.0|4.0|Biological Cybernetics|Associative Search Network: A Reinforcement Learning Associative Memory
1982|5.0|2.0|Stochastic Processes and their Applications|On the evaluation of fixed permutations as strategies in stochastic scheduling
1983|14.0|8.5|Transactions of the American Mathematical Society|Classical solutions of the Hamilton-Jacobi-Bellman equation for uniformly elliptic operators
1984|6.0|1.0|Mathematics of Operations Research|Optimal Repair Allocation in a Series System
1985|3.0|1.0|Journal of Mathematical Analysis and Applications|Nonstationary value-iteration and adaptive control of discounted semi-Markov processes
1986|7.0|2.0|Operations Research Letters|A new condition for the existence of optimal stationary policies in average cost Markov decision processes
1987|8.0|2.0|Annals of Statistics|Adaptive Treatment Allocation and the Multi-Armed Bandit Problem
1988|7.0|3.0|Journal of the ACM|Optimal scheduling policies for a class of queues with customer deadlines to the beginning of service
1989|14.0|3.5|IEEE Transactions on Communications|Optimal circuit access policies in an ISDN environment: a Markov decision approach
1990|46.0|4.0|international conference on machine learning|Integrated architecture for learning, planning, and reacting based on approximating dynamic programming
1991|27.0|2.0|Machine Learning|Learning to Perceive and Act by Trial and Error
1992|87.0|3.5|IEEE Transactions on Neural Networks|Learning and tuning fuzzy logic controllers through reinforcements
1993|39.0|2.0|Machine Learning|Prioritized Sweeping: Reinforcement Learning with Less Data and Less Time
1994|42.0|3.0|international conference on machine learning|Markov games as a framework for multi-agent reinforcement learning
1995|54.0|2.0|international joint conference on artificial intelligence|Exploiting Structure in Policy Construction
1996|262.0|2.0|Journal of Artificial Intelligence Research|Reinforcement learning: a survey
1997|45.0|2.0|Proceedings of the National Academy of Sciences of the United States of America|Response-reinforcement learning is dependent on N-methyl-d-aspartate receptor activation in the nucleus accumbens core
1998|201.0|3.0||Introduction to Reinforcement Learning
1999|130.0|4.0|Econometrica|Experienceweighted Attraction Learning in Normal Form Games
2000|87.0|3.0|neural information processing systems|Policy Gradient Methods for Reinforcement Learning with Function Approximation
2001|114.0|4.0|Nature|A cellular mechanism of reward-related learning.
2002|322.0|4.0|Automatica|The explicit linear quadratic regulator for constrained systems
2003|123.0|4.0|Brain|Ventromedial frontal cortex mediates affective shifting in humans: evidence from a reversal learning paradigm
2004|211.0|5.0|Neuroscience & Biobehavioral Reviews|Ventral striatal control of appetitive motivation: role in ingestive behavior and reward-related learning
2005|198.0|3.0|Neuron|Midbrain Dopamine Neurons Encode a Quantitative Reward Prediction Error Signal
2006|357.0|3.0|Nature|Cortical substrates for exploratory decisions in humans
2007|399.0|4.0|IEEE Journal on Selected Areas in Communications|Decentralized cognitive MAC for opportunistic spectrum access in ad hoc networks: A POMDP framework
2008|302.0|3.0|Annual Review of Neuroscience|Habits, Rituals, and the Evaluative Brain
2009|323.0|3.0|Robotics and Autonomous Systems|A survey of robot learning from demonstration
2010|1331.0|3.0|PLOS ONE|Structure Learning in a Sensorimotor Association Task
