----  Field Name Requirements engineering: 
----  Field Level 2.0: 
----  Field Papers Number 22756:
----  All time max citation paper: Building Theories from Case Study Research, 1989, (5617.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1957|5.0|5.0|Physiologia Plantarum|Studies on the Nutrition of Forest Tree Seedlings. II Mineral Nutrition of Spruce
1960|17.0|7.0|Journal of Insect Physiology|The nutritional requirements of locusts. I. Development of synthetic diets and lipid requirements.
1961|2.0|2.0|Journal of Dairy Science|Use of Part Lactation Records in Sire Evaluation
1965|2.0|2.0||Analysis of low-temperature direct-condensing vapor-chamber fin and conducting fin radiators
1967|8.0|8.0|Journal of Geophysical Research|Parameters of the optical properties of the lunar surface powder in relation to solarwind bombardment
1968|2.0|2.0||Design of a time-sharing system allowing interactive graphics
1969|0|0.0|IEEE Journal of Solid-state Circuits|Applying IMPATT Power Sources to Modern Microwave Systems
1970|0|0.0|Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology|Iron requirement for longevity of Pseudomonas cultures
1972|32.0|2.0|Communications of The ACM|Properties of the working-set model
1973|14.0|7.0||Packet-switching in a slotted satellite channel
1974|13.0|2.5|Communications of The ACM|A simple linear model of demand paging performance
1975|25.0|3.0|Sigplan Notices|A view of program verification
1976|44.0|2.0|Nature|Significance of impulse activity in the transformation of skeletal muscle type
1977|94.0|2.0|Communications of The ACM|Abstract data types and the development of data structures
1978|7.0|2.0||The Euclid Language: a progress report
1979|39.0|3.0|Nature|Myosin isoenzyme redistribution in chronic heart overload.
1980|31.0|1.0|IEEE Transactions on Communications|OSI Reference Model--The ISO Model of Architecture for Open Systems Interconnection
1981|25.0|1.0|Nature|Calcium-binding protein parvalbumin as a neuronal marker.
1982|12.0|2.0|conference on automated deduction|STP: A Mechanized Logic for Specification and Verification
1983|100.0|1.5|Nature|Adenovirus early region 1A enables viral and cellular transforming genes to transform primary cells in culture
1984|20.0|2.0||Generalization/Specialization as a Basis for Software Specification
1985|35.0|2.5|IEEE Transactions on Software Engineering|PROUST: Knowledge-Based Program Understanding
1986|87.0|2.0|IEEE Transactions on Computers|Graph-Based Algorithms for Boolean Function Manipulation
1987|38.0|2.0|IEEE Journal on Robotics and Automation|A visual navigation system for autonomous land vehicles
1988|35.0|3.0|Computational Linguistics|Modeling the user's plans and goals
1989|37.0|2.0|Journal of Cognitive Neuroscience|Why does the brain have so many visual areas?
1990|119.0|2.0|IEEE Computer|Real-time scheduling theory and Ada
1991|68.0|3.0|IEEE Transactions on Software Engineering|Modeling and verification of time dependent systems using time Petri nets
1992|73.0|3.0|formal methods|A stubborn attack on state explosion
1993|71.0|3.0|Science of Computer Programming|Goal-directed requirements acquisition
1994|221.0|3.0|Communications of The ACM|The Dexter hypertext reference model
1995|131.0|2.0|Cell|Identification of a novel cellular cofactor for the Rev/Rex class of retroviral regulatory proteins
1996|114.0|2.0|IEEE Computer|Role-based access control models
1997|65.0|3.0|IEEE Transactions on Software Engineering|Estimating software project effort using analogies
1998|76.0|3.0|design automation conference|Generic global placement and floorplanning
1999|101.0|5.0|Pflgers Archiv: European Journal of Physiology|The CLC chloride channel family.
2000|195.0|4.0|Biological Reviews|Why do females mate multiply? A review of the genetic benefits
2001|126.0|5.0|Nature Cell Biology|The spindle: a dynamic assembly of microtubules and motors
2002|153.0|5.0|Biophysical Journal|Triton Promotes Domain Formation in Lipid Raft Mixtures
2003|200.0|4.0|Sigecom Exchanges|A model for web services discovery with QoS
2004|240.0|5.0|international world wide web conferences|QoS computation and policing in dynamic web service selection
2005|350.0|4.0|Applied Ontology|Web Service Modeling Ontology
2006|286.0|4.0|The FASEB Journal|Cellular mechanotransduction: putting all the pieces together again
2007|609.0|3.5|Nature Immunology|IL-6 programs TH-17 cell differentiation by promoting sequential engagement of the IL-21 and IL-23 pathways
2008|562.0|3.0|Nature Medicine|Perfusion-decellularized matrix: using nature's platform to engineer a bioartificial heart
2009|389.0|3.0||On Non-Functional Requirements in Software Engineering
2010|1317.0|3.0|PLOS ONE|Statistical Tests for Associations between Two Directed Acyclic Graphs
