----  Field Name Scientific management: 
----  Field Level 2.0: 
----  Field Papers Number 1355:
----  All time max citation paper: An overview of workflow management: from process modeling to workflow automation infrastructure, 1995, (708.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1991|10.0|10.0|international conference on software maintenance|Towards automated support for extraction of reusable components
1993|31.0|7.0|workshops on enabling technologies: infrastracture for collaborative enterprises|Tools for inventing organizations: toward a handbook of organizational processes
1994|67.0|3.0|conference on computer supported cooperative work|Experiences with workflow management: issues for the next generation
1995|191.0|3.0|Distributed and Parallel Databases|An overview of workflow management: from process modeling to workflow automation infrastructure
1996|21.0|2.0|Management Science|Commonalities in reengineered business processes: models and issues
1997|43.0|2.0|international conference on software engineering|Assessing modular structure of legacy code based on mathematical concept analysis
1998|26.0|2.0|Information Systems Research|Reengineering the Dutch Flower Auctions: a Framework for Analyzing Exchange Organizations
1999|49.0|5.0|Management Science|Tools for Inventing Organizations: Toward a Handbook of Organizational Processes
2000|32.0|3.0|Journal of Management Information Systems|Information technology payoff in the health-care industry: a longitudinal study
2001|64.0|2.0|international conference on software engineering|Hyper/J: multi-dimensional separation of concerns for Java
2002|35.0|4.0|IEEE Transactions on Software Engineering|Visualizing software changes
2003|101.0|3.0|ACM Computing Surveys|Information technology and economic performance: A critical review of the empirical evidence
2004|49.0|7.0|IEEE Software|Understanding service-oriented software
2005|77.0|4.0|International Journal of Production Economics|A framework of ERP systems implementation success in China: An empirical study
2006|88.0|4.0|IEEE Transactions on Software Engineering|Design Pattern Detection Using Similarity Scoring
2007|80.0|3.0|Information Systems|A configurable reference modelling language
2008|107.0|2.0|International Journal of Production Economics|Evaluating the business value of RFID: Evidence from five case studies
2009|59.0|1.0|International Journal for Quality in Health Care|Application of lean thinking to health care: Issues and observations
2010|37.0|2.0|International Journal of Project Management|Do business process reengineering projects payoff? Evidence from the United States
