----  Field Name Search theory: 
----  Field Level 2.0: 
----  Field Papers Number 2262:
----  All time max citation paper: The Fair Wage-Effort Hypothesis and Unemployment, 1990, (662.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1963|13.0|6.5|Journal of Verbal Learning and Verbal Behavior|RECALL AS A SEARCH PROCESS
1966|1.0|1.0||Search procedures based on measures of relatedness between documents.
1968|2.0|2.0|Journal of Experimental Social Psychology|INFORMATION SEARCH AND THE EFFECTS OF FAILURE: A TEST OF COMPLEXITY THEORY
1969|0|0.0|Automatica|Development of predictor models
1971|2.0|2.0|Journal of Regional Science|THE NORTHSOUTH MANUFACTURING WAGE DIFFERENTIAL, 18691919
1972|2.0|2.0|Journal of Regional Science|TECHNICAL PROGRESS, ECONOMIC GROWTH, AND THE NORTHSOUTH WAGE DIFFERENTIAL*
1973|6.0|3.5||Analysis of the Alpha-Beta Pruning Algorithm,
1974|0|0.0||Progress in Human Capital Analysis of the Distribution of Earnings
1975|4.0|2.0|Journal of Human Resources|Schooling as a Wage Depressant
1976|21.0|1.0|Artificial Intelligence|Forward reasoning and dependency-directed backtracking in a system for computer-aided circuit analysis
1977|4.0|3.5|Journal of Urban Economics|Government wage differentials
1978|12.0|2.0|Artificial Intelligence|The B tree search algorithm: A best-first proof procedure
1979|4.0|3.0|Journal of Human Resources|Search Effort in the Labor Market
1980|17.0|2.5|ACM Transactions on Mathematical Software|Optimal Expected-Time Algorithms for Closest Point Problems
1981|4.0|1.0||The Economics of Wage Floors
1982|4.0|1.0|Journal of Human Resources|Estimating Wage Discrimination in the Labor Market
1983|33.0|1.0||Constraint-directed search: a case study of job-shop scheduling
1984|3.0|0.0|Journal of Regional Science|REGIONAL WAGE DIFFERENTIALS, LABOR SUPPLY RESPONSES, AND RACE*
1985|52.0|1.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Stereo by Intra- and Inter-Scanline Search Using Dynamic Programming
1986|36.0|3.5||Efficiency Wage Theories: A Partial Evaluation
1987|6.0|1.0|Journal of Regional Science|INTERREGIONAL WAGE DIFFERENTIALS: AN EQUILIBRIUM PERSPECTIVE *
1988|11.0|4.0||Can Inter-Industry Wage Differentials Justify Strategic Trade Policy?
1989|35.0|2.0|Journal of Economic Literature|Male-Female Wage Differentials and Policy Responses
1990|39.0|2.0|Quarterly Journal of Economics|The Fair Wage-Effort Hypothesis and Unemployment
1991|16.0|2.0|Economica|Union Wage Differentials in the Face of Changes in the Economic and Legal Environment
1992|15.0|3.0|Journal of Human Resources|Price, Quality, and Income in Child Care Choice
1993|7.0|2.0|Annals of Regional Science|Migration history migration behavior and selectivity.
1994|49.0|2.5|Journal of Econometrics|On discrimination and the decomposition of wage differentials
1995|29.0|3.0||The Swedish Wage Structure: The Rise and Fall of Solidarity Wage Policy?
1996|20.0|3.0|Journal of Public Economics|Unemployment duration, unemployment benefits, and labor market programs in Sweden
1997|74.0|3.0|World Bank Economic Review|Openness and wage inequality in developing countries : the Latin American challenge to east Asian conventional wisdom
1998|31.0|3.0|Journal of Labor Economics|Dividing the Costs and Returns to General Training
1999|30.0|3.0|Pediatrics|Influence of the Home Environment on the Development of Obesity in Children
2000|62.0|3.0|Alcoholism: Clinical and Experimental Research|Integrating PersonCentered and VariableCentered Analyses: Growth Mixture Modeling With Latent Trajectory Classes
2001|51.0|3.0|Child Development|The Home Environments of Children in the United States Part I: Variations by Age, Ethnicity, and Poverty Status.
2002|48.0|3.0|Child Development|Maternal Employment and Child Cognitive Outcomes in the First Three Years of Life: The NICHD Study of Early Child Care
2003|42.0|3.0|Journal of Health Economics|Maternal employment and overweight children
2004|63.0|3.0|Pediatrics|Early Television Exposure and Subsequent Attentional Problems in Children
2005|70.0|3.0||Rising Wage Inequality: The Role of Composition and Prices
2006|99.0|3.5|European Journal of Operational Research|Principles of scatter search
2007|90.0|3.0|Economics Bulletin|Innovation, Firm Size, and R&D Search
2008|50.0|4.0|International Economic Review|The Effect Of Maternal Employment And Child Care On Children'S Cognitive Development
2009|86.0|4.0|American Economic Journal: Applied Economics|Early Childhood Intervention and Life-Cycle Skill Development: Evidence from Head Start
2010|202.0|3.0|Nature|Environmental context explains Lvy and Brownian movement patterns of marine predators
