----  Field Name Seismic tomography: 
----  Field Level 2.0: 
----  Field Papers Number 2543:
----  All time max citation paper: A large-scale isotope anomaly in the Southern Hemisphere mantle, 1984, (919.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1965|12.0|12.0|Physics and Chemistry of The Earth|Sea floor relief and mantle convection
1966|26.0|26.0|Journal of Geophysical Research|Heat flow through the Arctic Ocean floor: The Canada BasinAlpha Rise Boundary
1967|65.0|3.0|Journal of Geophysical Research|Deep earthquake zones, anomalous structures in the upper mantle, and the lithosphere
1968|41.0|10.0|Journal of Geophysical Research|Midocean ridges and geotherm distribution during mantle convection
1969|32.0|21.0|Journal of Geophysical Research|Convection in a mantle with variable physical properties
1970|9.0|6.0|Journal of Geophysical Research|Convection in a mantle with variable viscosity
1971|24.0|21.0|Journal of Geophysical Research|Phase changes and mantle convection
1972|21.0|16.5|Journal of Geophysical Research|Onedimensional model of shallowmantle convection
1973|28.0|1.5|Journal of Geophysical Research|Frictional heating of the descending lithosphere
1974|4.0|4.0|Nature|Lunar magnetometry and mantle convection
1975|3.0|3.0|Geophysical Journal International|Seismology, dT/d and Deep Mantle Convection*
1976|29.0|4.0|Journal of Geophysical Research|Studies of finite amplitude nonNewtonian thermal convection with application to convection in the Earth's mantle
1977|49.0|9.5|Earth and Planetary Science Letters|Chemical heterogeneity of the Archaean mantle, composition of the earth and mantle evolution
1978|32.0|15.5|Journal of Geophysical Research|Mantle convection and the thermal structure of the plates
1979|37.0|11.0|Journal of Geophysical Research|Convection, composition, and the thermal state of the lower mantle
1980|30.0|11.0|Nature|Planform of mantle convection beneath the Pacific Ocean
1981|38.0|12.5|Journal of Geophysical Research|On some consequences and possible causes of layered mantle convection
1982|43.0|11.5|Nature|Aspherical Earth structure from fundamental spheroidal-mode data
1983|40.0|10.0|Earth and Planetary Science Letters|Chemical structure and evolution of the mantle and continents determined by inversion of Nd and Sr isotopic data, II. Numerical experiments and discussion
1984|69.0|10.0|Journal of Geophysical Research|Subducted slabs and the geoid: Constraints on mantle rheology and flow
1985|64.0|10.0|Nature|Lower mantle heterogeneity, dynamic topography and the geoid
1986|43.0|10.5|Journal of Geophysical Research|Slab penetration into the lower mantle beneath the Mariana and other island arcs of the northwest Pacific
1987|23.0|8.0|Nature|Thermal core-mantle interactions
1988|35.0|9.0|Journal of Geophysical Research|Ocean bathymetry and mantle convection: 1. Largescale flow and hotspots
1989|33.0|8.0|Geophysical Research Letters|Influence of heating mode on three-dimensional mantle convection
1990|19.0|6.5|Journal of Geophysical Research|Mantle dynamics in Mars and Venus: Influence of an immobile lithosphere on threedimensional mantle convection
1991|78.0|6.0|Reviews of Geophysics|Hotspots, mantle plumes, flood basalts, and true polar wander
1992|47.0|6.0|Journal of Geophysical Research|The role of lithospheric mantle in continental flood volcanism: Thermal and geochemical constraints
1993|73.0|8.0|Geophysical Research Letters|Importance of anelasticity in the interpretation of seismic tomography
1994|50.0|9.0|Journal of Geophysical Research|Avalanche effects in phase transition modulated thermal convection : a model of Earth's mantle
1995|53.0|6.0|Journal of Geophysical Research|Mantle plumes and flood basalts
1996|42.0|5.5|Geophysical Research Letters|New inferences of mantle viscosity from joint inversion of longwavelength mantle convection and postglacial rebound data
1997|233.0|8.0|Nature|Evidence for deep mantle circulation from global tomography
1998|73.0|6.0|Reviews of Geophysics|The dynamics of Cenozoic and Mesozoic plate motions
1999|45.0|7.0|Nature|Mesozoic subducted slabs under Siberia
2000|40.0|7.0|Geophysical Journal International|Nonlinear global Pwave tomography by iterated linearized inversion
2001|74.0|8.0|Journal of Geophysical Research|Thermal thickness and evolution of Precambrian lithosphere: A global study
2002|63.0|8.0|Geochimica et Cosmochimica Acta|Chemical evolution of seawater during the Phanerozoic
2003|110.0|11.0|Nature|Whole-mantle convection and the transition-zone water filter
2004|82.0|12.0|Earth and Planetary Science Letters|A new inference of mantle viscosity based upon joint inversion of convection and glacial isostatic adjustment data
2005|147.0|9.0|Earth and Planetary Science Letters|Computation of phase equilibria by linear programming: A tool for geodynamic modeling and its application to subduction zone decarbonation
2006|93.0|10.0|Journal of Geophysical Research|Highresolution mantle tomography of China and surrounding regions
2007|126.0|9.0|Gondwana Research|Superplume, supercontinent, and post-perovskite: Mantle dynamics and anti-plate tectonics on the CoreMantle Boundary
2008|169.0|11.0|Science|Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics
2009|160.0|13.0|Journal of Petrology|The Composition and Evolution of Lithospheric Mantle: a Re-evaluation and its Tectonic Implications
2010|294.0|13.0|Precambrian Research|Assembling North China Craton within the Columbia supercontinent: The role of double-sided subduction
