----  Field Name Serology: 
----  Field Level 2.0: 
----  Field Papers Number 56876:
----  All time max citation paper: Human papillomavirus is a necessary cause of invasive cervical cancer worldwide., 1999, (4034.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1926|0|0.0|American Journal of Public Health|LABORATORY: THE COMPLEMENT FIXATION TEST IN TUBERCULOSIS A REVIEW
1928|1.0|1.0|Journal of Hygiene|A Study of Non-specific Complement-fixation with particular reference to the Interaction of Normal Serum and certain Non-antigenic substances
1930|0|0.0|Journal of Hygiene|Complement-fixation by the Interaction of Normal Serum and Bacterial Suspensions-a Contribution to the Study of Natural Immunity Phenomena.
1934|0|0.0|American Journal of Public Health|The Effectiveness of Vaccines Used for the Prevention of Typhoid Fever in the United States Army and Navy
1936|2.0|2.0|Journal of Parasitology|The production of artificial immunity in dogs against Echinococcus granulosus.
1938|0|0.0|JAMA Internal Medicine|COMPLEMENT FIXATION IN AMEBIASIS: A COMPARATIVE EVALUATION IN CLINICAL PRACTICE
1940|1.0|0.0|Journal of Hygiene|Reversed Passive Anaphylaxis in the Guinea-Pig.
1945|4.0|2.0|JAMA|LOEFFLER'S SYNDROME ASSOCIATED WITH CREEPING ERUPTION (CUTANEOUS HELMINTHIASIS)
1946|0|0.0|Archives of Surgery|ANAPHYLAXIS-LIKE REACTIONS PRODUCED BY ASCARIS EXTRACTS: The Role Played by Leukocytes and Platelets in the Genesis of the Shock
1947|4.0|2.5|JAMA Internal Medicine|ERUPTIVE FEVER WITH INVOLVEMENT OF THE RESPIRATORY TRACT, CONJUNCTIVITIS, STOMATITIS AND BALANITIS: An Acute Clinical Entity, Probably of Infectious Origin; Report of Twenty Cases and Review of the Literature
1948|4.0|2.0|JAMA|Influenza A in a Vaccinated Population.
1949|5.0|3.0|Microbiology|The Serological Comparison of Strains of Influenza Virus.
1950|3.0|1.0|Journal of Allergy|Complement fixation studies in allergy
1951|1.0|1.0|The New England Journal of Medicine|Multiple Myeloma: A Report of Four Cases Demonstrating BenceJones Proteinemia Found during Routine Complement-Fixation Tests
1952|2.0|1.0|Journal of Hygiene|The properties of different Salmonella Vi antigens
1953|4.0|1.0|Archives of Biochemistry and Biophysics|Studies on the binding of small ions in protein solutions with the use of membrane electrodes. II. The binding of calcium ions in solutions of bovine serum albumin
1954|5.0|3.0|JAMA|ASEPTIC MENINGITIS CAUSED BY COXSACKIE VIRUS WITH ISOLATION OF VIRUS FROM CEREBROSPINAL FLUID
1955|7.0|4.5|Microbiology|A Serological Classification of Lactobacilli
1956|2.0|0.0|Experimental Parasitology|Immunologically reactive substance from Schistosoma mansoni.
1957|7.0|3.0|Archives of Biochemistry and Biophysics|Modified bovine serum albumin. III. Hydrolysis studies with trypsin, chymotrypsin and pepsin
1958|8.0|3.0|Archives of Biochemistry and Biophysics|Modified bovine serum albumin. IV. Characterization and immunochemical studies of the O -acetylated derivative
1959|24.0|2.0|Nature|Structure of PoliomyelitisVirus.
1960|19.0|2.0|Virology|Studies on the relationship between soil-borne viruses of the ringspot type occurring in Britain and continental Europe.
1961|45.0|2.5|Virology|The Structure and Composition of the Myxoviruses. II. Components released from the Influenza Virus Particle by Ether.
1962|25.0|1.0|Annals of the New York Academy of Sciences|ROLE OF THE THYMUS IN TRANSPLANTATION IMMUNITY*
1963|29.0|3.0|The Lancet|FARMER'S LUNG THERMOPHILIC ACTINOMYCETES AS A SOURCE OF "FARMER'S LUNG HAY" ANTIGEN
1964|60.0|2.0|The New England Journal of Medicine|Virologic and Serologic Studies on Human Products of Conception after Maternal Rubella.
1965|17.0|2.0|Microbiology|A Serological Comparison of Various Species of Mycoplasma by an Agar Gel Double-Diffusion Technique
1966|41.0|2.0|Journal of Molecular Biology|Some properties of mammalian DNA-like RNA isolated by chromatography on methylated bovine serum albumin-kieselguhr columns
1967|33.0|2.0|Science|Mechanism of Antibody Synthesis: Size Differences between Mouse Kappa Chains
1968|25.0|2.0|Journal of General Virology|A Common Surface Antigen in Influenza Viruses from Human and Avian Sources
1969|38.0|2.0|The New England Journal of Medicine|An epidemic of hepatitis in a chronic-hemodialysis unit. Australia antigen and differences in host response.
