----  Field Name Signal processing: 
----  Field Level 2.0: 
----  Field Papers Number 228261:
----  All time max citation paper: Accurate normalization of real-time quantitative RT-PCR data by geometric averaging of multiple internal control genes, 2002, (7031.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1950|0|0.0|Philosophical Magazine Series 1|V. Noise in ionization chamber pulse amplifiers
1952|3.0|3.0|Journal of Applied Physics|Statistical Errors in Measurements on Random Time Functions
1953|8.0|3.0|Journal of Chemical Physics|Studies of Ionization Efficiency. Part III. The Detection and Interpretation of Fine Structure
1954|0|0.0|Transactions of The Ire Professional Group on Circuit Theory|The Approximation Problem of Network Synthesis
1955|0|0.0|IEEE Transactions on Information Theory|A bibliography on noise
1956|17.0|17.0|Journal of Applied Physics|Review of Germanium Surface Phenomena
1957|0|0.0|Applied Scientific Research, Section B|A null instrument for accurate measurement of small a.c. currents
1958|1.0|1.0|Solar Energy|A study of temperature measurement in a solar furnance
1959|13.0|1.0|Journal of Chemical Physics|Transport Phenomena in a Fluid Composed of Diatomic Molecules
1960|8.0|1.0|Journal of Chemical Physics|QuantumMechanical Modified Boltzmann Equation for Degenerate Internal States
1961|19.0|1.0|Journal of Chemical Physics|CARBON-13 HYPERFINE SPLITTING IN THE ELECTRON SPIN RESONANCE SPECTRA OF SEMIQUINONES AND CYCLOOCTATETRAENE
1962|6.0|1.0|Journal of Chemical Physics|Thermoluminescence from GammaIrradiated Biochemicals. Investigation of Emission Spectra
1963|5.0|1.0|Icarus|THE ELECTRICAL CHARACTERISTICS OF THE ATMOSPHERE AND SURFACE OF VENUS FROM RADAR OBSERVATIONS
1964|30.0|2.0|Journal of Geophysical Research|Neutral composition of the atmosphere in the 100 to 200kilometer range
1965|16.0|1.0|Journal of Chemical Physics|Relative Signs of the Nuclear Spin Coupling Constants in Propylene Oxide and Indene Oxide
1966|55.0|2.0|Journal of Geophysical Research|Observations of the solar wind during the flight of Imp 1
1967|15.0|2.0|Journal of Geophysical Research|Excitation of free oscillations and surface waves by a point source in a vertically heterogeneous Earth
1968|56.0|2.0|Journal of Geophysical Research|Power spectra and discontinuities of the interplanetary magnetic field: Mariner 4
1969|35.0|2.0|IEEE Spectrum|A guided tour of the fast Fourier transform
1970|24.0|2.0|Journal of Geophysical Research|Positive ion composition from a rocket-borne mass spectrometer
1971|31.0|1.0|Journal of Geophysical Research|Mariner 6 and 7 Ultraviolet Spectrometer Experiment: Upper atmosphere data
1972|56.0|1.0|Journal of Geophysical Research|VLF hiss and related plasma observations in the polar magnetosphere
1973|43.0|2.0|Photochemistry and Photobiology|FLUORESCENCE AND THE LOCATION OF TRYPTOPHAN RESIDUES IN PROTEIN MOLECULES
1974|69.0|1.0|Journal of Geophysical Research|In situ measurements of the spectral characteristics of F region ionospheric irregularities
1975|39.0|2.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Organization of the Hearsay II speech understanding system
1976|39.0|2.0|Geophysical Research Letters|OH  Radicals in the lower troposphere
1977|65.0|2.0|Geophysical Research Letters|Signatures of electric fields from high and low altitude farticles distributions
1978|59.0|1.0|Neuroscience|The cells of origin of nigrotectal, nigrothalamic and nigrostriatal projections in the rat
1979|55.0|2.0|symposium on the theory of computing|Area-time complexity for VLSI
1980|72.0|2.0|Journal of Fluid Mechanics|Many routes to turbulent convection
1981|69.0|2.0|Communications of The ACM|The cube-connected cycles: a versatile network for parallel computation
1982|61.0|2.0|American Journal of Cardiology|Evaluation of pulmonary and systemic blood flow by 2-dimensional Doppler echocardiography using fast fourier transform spectral analysis
1983|39.0|2.0|IEEE Transactions on Communications|The Laplacian Pyramid as a Compact Image Code
1984|100.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images
1985|91.0|2.0|Journal of Magnetic Resonance|Retrieval of frequencies, amplitudes, damping factors, and phases from time-domain signals using a linear least-squares procedure
1986|160.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|A Computational Approach to Edge Detection
1987|103.0|2.0|IEEE Transactions on Computers|The Warp Computer: Architecture, Implementation, and Performance
1988|125.0|2.0|IEEE Computer|Self-organization in a perceptual network
1989|305.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|A theory for multiresolution signal decomposition: the wavelet representation
1990|197.0|2.0|Proceedings of the IEEE|Networks for approximation and learning
1991|101.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|The design and use of steerable filters
1992|221.0|2.0|IEEE Transactions on Image Processing|Image coding using wavelet transform
1993|264.0|2.0|IEEE Transactions on Signal Processing|Embedded image coding using zerotrees of wavelet coefficients
1994|387.0|2.0|Applied Physics Letters|Candelaclass highbrightness InGaN/AlGaN doubleheterostructure bluelightemitting diodes
1995|329.0|2.0|Nuclear Physics|Bound states of strings and p-branes
1996|414.0|2.0|IEEE Transactions on Circuits and Systems for Video Technology|A new, fast, and efficient image codec based on set partitioning in hierarchical trees
1997|223.0|2.0|IEEE Transactions on Image Processing|Secure spread spectrum watermarking for multimedia
1998|181.0|2.0|IEEE Transactions on Information Theory|Blind multiuser detection: a subspace approach
1999|681.0|3.0|IEEE Transactions on Information Theory|Space-time block codes from orthogonal designs
2000|394.0|3.0|international conference on computer communications|RADAR: an in-building RF-based user location and tracking system
2001|881.0|3.0|Nature|Neurophysiological investigation of the basis of the fMRI signal
2002|967.0|4.0|Genome Biology|Accurate normalization of real-time quantitative RT-PCR data by geometric averaging of multiple internal control genes
2003|414.0|4.0|IEEE Transactions on Information Theory|On the achievable throughput of a multiantenna Gaussian broadcast channel
2004|1944.0|4.0|IEEE Transactions on Information Theory|Cooperative diversity in wireless networks: Efficient protocols and outage behavior
2005|1561.0|3.0|IEEE Journal on Selected Areas in Communications|Cognitive radio: brain-empowered wireless communications
2006|1330.0|3.0|IEEE Transactions on Information Theory|Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information
2007|549.0|3.0|Proceedings of the IEEE|A Survey of Recent Results in Networked Control Systems
2008|1733.0|2.0|Systematic Biology|A Rapid Bootstrap Algorithm for the RAxML Web Servers
2009|770.0|2.0|Siam Review|Tensor Decompositions and Applications
2010|1355.0|3.0|Genome Biology|Differential expression analysis for sequence count data
