----  Field Name Social organization: 
----  Field Level 2.0: 
----  Field Papers Number 1834:
----  All time max citation paper: THE MIRROR-NEURON SYSTEM, 2004, (2049.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1945|0|0.0|American Anthropologist|YOKUTS AND WESTERN MONO SOCIAL ORGANIZATION
1958|0|0.0|Social Problems|Social Organization and Alcoholism: A Review of Significant Research Since 1940
1961|0|0.0|Systems Research and Behavioral Science|Explorations in the realm of organization theory. IV: The simulation of social organization
1966|0|0.0|International Journal of Biometeorology|Biometeorological aspects in the ecology of man at high latitudes
1967|0|0.0|Annals of The Association of American Geographers|GEOGRAPHIC PERSPECTIVES IN ANTHROPOLOGY
1970|25.0|0.0|Animal Behaviour|Social organization and the environment: Aspects of contemporary social ethology
1971|1.0|1.0|Demography|Social structure and the female labor force: the case of women workers in Muslim Middle Eastern countries.
1972|8.0|3.0|Animal Behaviour|The Behaviour and Social Organization of the New Forest Ponies
1974|7.0|3.0|Integrative and Comparative Biology|Ecology and Evolution of Social Organization in Arctic Sandpipers
1975|2.0|2.0|Social Problems|Gay Baths and the Social Organization of Impersonal Sex
1976|5.0|0.5|Behavioral Ecology and Sociobiology|Social Organization and Foraging in Emballonurid Bats IL A Model for the Determination of Group Size
1977|36.0|3.0|Journal of Zoology|Primate ecology and social organization
1978|9.0|1.0|Physiology & Behavior|Seasonal variations in gonadal hormones and social behavior in squirrel monkeys
1979|22.0|2.5|Primates|Alliance formation in a free-ranging troop of Japanese macaques
1980|2.0|0.0|Behavioral Ecology and Sociobiology|Ecological Correlates of Social Organization in a Communally Breeding Bird, the Acorn Woodpecker, Melanerpes formicivorus
1981|11.0|2.0|Behavioral Ecology and Sociobiology|Social organization and kinship in the polygynous bat Phyllostomus hastatus
1982|13.0|3.0|Advances in Computers|The Web of Computing: Computer Technology as Social Organization
1983|11.0|1.0|Behavioral Ecology and Sociobiology|Social organization of a free-ranging population of pine voles, Microtus pinetorum
1984|15.0|2.0|Behavioral Ecology and Sociobiology|Sibling recognition in thirteen-lined ground squirrels: effects of genetic relatedness, rearing association, and olfaction
1985|6.0|2.0|Environmental Biology of Fishes|Effects of size and sex on the social organization of reef-associated hogfishes, Bodianus spp.
1986|20.0|3.0|Advances in The Study of Behavior|Relationships between Social Organization and Behavioral Endocrinology in a Monogamous Mammal
1987|17.0|2.0|Economic Botany|In situ conservation of crop genetic resources through maintenance of traditional farming systems.
1988|78.0|2.0|Personality and Individual Differences|Race differences in behaviour: A review and evolutionary analysis
1989|12.0|3.5|Journal of Human Evolution|Comparative feeding ecology of the Uakari and Bearded Saki, Cacajao and Chiropotes
1990|19.0|3.0|Review of Research in Education|The Mentor Phenomenon and the Social Organization of Teaching
1991|9.0|3.0|Journal of Consumer Research|The Critical Imagination: Emancipatory Interests in Consumer Research
1992|13.0|2.0|Hormones and Behavior|Development of partner preferences in female prairie voles ( Microtus ochrogaster ): The role of social and sexual experience
1993|14.0|2.0|The Sociological Review|Locality and community: coming to terms with place
1994|23.0|2.0|The Journal of Neuroscience|Patterns of brain vasopressin receptor distribution associated with social organization in microtine rodents.
1995|14.0|2.0|American Journal of Primatology|Ontogeny and the evolution of adult body size dimorphism in apes
1996|16.0|4.0|American Journal of Primatology|Demography, group composition, and dispersal in wild cottontop tamarin (Saguinus oedipus) groups
1997|48.0|4.0|Behavioral Ecology and Sociobiology|The evolution of female social relationships in nonhuman primates
1998|81.0|4.0|Proceedings of the National Academy of Sciences of the United States of America|Grandmothering, menopause, and the evolution of human life histories
1999|73.0|3.0|Nature|Increased affiliative response to vasopressin in mice expressing the V1a receptor from a monogamous vole
2000|49.0|5.0|Future Generation Computer Systems|Ant algorithms and stigmergy
2001|110.0|5.0|Ecosystems|Understanding the complexity of economic, ecological, and social systems
2002|86.0|5.0|Proceedings of the National Academy of Sciences of the United States of America|Evolution of supercolonies: The Argentine ants of southern Europe
2003|194.0|7.0|Hormones and Behavior|The concept of allostasis in biology and biomedicine
2004|696.0|7.0|Annual Review of Neuroscience|THE MIRROR-NEURON SYSTEM
2005|84.0|7.0|Animal Behaviour|The socioecology of elephants: analysis of the processes creating multitiered social structures
2006|112.0|8.0|Ecology and Society|Governance and the capacity to manage resilience in regional social-ecological systems
2007|108.0|7.0|PLOS Biology|The gene vitellogenin has multiple coordinating effects on social organization.
2008|94.0|8.0|BMC Evolutionary Biology|Evolution of a behavior-linked microsatellite-containing element in the 5' flanking region of the primate AVPR1A gene
2009|140.0|8.0|BMC Evolutionary Biology|On the edge of Bantu expansions: mtDNA, Y chromosome and lactase persistence genetic variation in southwestern Angola
2010|143.0|4.0|BMC Evolutionary Biology|The transcription factor Krppel homolog 1 is linked to hormone mediated social organization in bees
