----  Field Name Soft computing: 
----  Field Level 2.0: 
----  Field Papers Number 1753:
----  All time max citation paper: Ant colony optimization, 2006, (1360.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1993|0|0.0|Journal of Intelligent Manufacturing|Principles and methodology of fuzzy sets
1994|52.0|0.0|Communications of The ACM|Fuzzy logic, neural networks, and soft computing
1995|8.0|3.0|User Modeling and User-adapted Interaction|Fuzzy techniques and user modeling in Sales Assistants
1996|4.0|1.0|Pattern Recognition Letters|Numeric and symbolic data fusion: A soft computing approach to remote sensing images analysis
1997|7.0|2.0|international symposium on microarchitecture|Applying fuzzy logic to codesign partitioning
1998|40.0|0.0|IEEE Transactions on Fuzzy Systems|FuGeNeSys-a fuzzy genetic neural system for fuzzy modeling
1999|27.0|2.0|IEEE Transactions on Neural Networks|Unification of neural and wavelet networks and fuzzy systems
2000|82.0|2.0|IEEE Transactions on Neural Networks|Neuro-fuzzy rule generation: survey in soft computing framework
2001|27.0|2.0|IEEE Transactions on Industrial Electronics|The fusion of computationally intelligent methodologies and sliding-mode control-a survey
2002|94.0|3.0|IEEE Transactions on Neural Networks|Data mining in soft computing framework: a survey
2003|33.0|2.5|Artificial Intelligence in Medicine|A fuzzy cognitive map approach to differential diagnosis of specific language impairment
2004|149.0|3.0|Fuzzy Sets and Systems|Ten years of genetic fuzzy systems : current framework and new trends
2005|63.0|2.0|Journal of Network and Computer Applications|Intrusion detection using an ensemble of intelligent paradigms
2006|816.0|2.0|IEEE Computational Intelligence Magazine|Ant colony optimization
2007|218.0|3.0|IEEE Transactions on Systems, Man, and Cybernetics|Gesture Recognition: A Survey
2008|84.0|2.0|Applied Mathematics and Computation|Novel derivative of harmony search algorithm for discrete design variables
2009|111.0|3.0|Expert Systems With Applications|Surveying stock market forecasting techniques - Part II: Soft computing methods
2010|119.0|3.0|Applied Soft Computing|Review: The use of computational intelligence in intrusion detection systems: A review
