----  Field Name Soil chemistry: 
----  Field Level 2.0: 
----  Field Papers Number 2426:
----  All time max citation paper: Soil does not explain monodominance in a Central African Tropical Forest, 2011, (1821.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1939|1.0|1.0|Plant Physiology|ANTAGONISM OF CERTAIN ELEMENTS ESSENTIAL TO PLANTS TOWARD CHEMICALLY RELATED TOXIC ELEMENTS
1966|1.0|1.0|Clays and Clay Minerals|QUANTITATIVE CLAY MINERALOGICAL ANALYSIS OF SOILS AND SEDIMENTS
1969|0|0.0||Studies on nitrogen mobilisation in forest soils
1970|9.0|3.0|Plant and Soil|Plant-endophyte symbiosis in non-leguminous plants
1971|0|0.0|European Journal of Soil Science|PROLONGED LEACHING OF ORTHIC BLACK Ah MATERIAL WITH WATER AND AQUEOUS EXTRACTS OF POPULUS TREMULOIDES AND P. BALSAMIFERA LEAVES
1972|2.0|1.0|Annals of the New York Academy of Sciences|AVAILABILITY OF TRACE ELEMENTS TO PLANTS WITH RESPECT TO SOILPLANT INTERACTION
1974|1.0|1.0||Humic substances reactions involving bipyridylium herbicides in soil and aquatic environments.
1975|9.0|9.0|Plant Ecology|Ordination and classification in the savanna vegetation of the Akagera Park (Rwanda, Central Africa).
1977|18.0|0.0|Water Resources Research|Effects of spatial variability of soil hydraulic properties in water budget modeling
1978|6.0|3.0|Australian Journal of Botany|A comparison of three populations of Eucalyptus obliqua L'Herit. growing on acid and calcareous soils in southern Victoria.
1979|7.0|1.0|Journal of Molecular Evolution|Frost-weathering on Mars - Experimental evidence for peroxide formation
1980|10.0|1.0|Environment International|Anion mobility in soils: Relevance to nutrient transport from forest ecosystems
1982|12.0|0.0|Environmental Science & Technology|Fulvic acid: modifier of metal-ion chemistry
1983|50.0|24.0|Environmental Science & Technology|Acid deposition and forest decline
1984|12.0|1.0|Journal of Geotechnical Engineering|Evaluating Calculated Risk in Geotechnical Engineering
1985|85.0|1.0|Water Resources Research|Modeling the Effects of Acid Deposition: Assessment of a Lumped Parameter Model of Soil Water and Streamwater Chemistry
1986|15.0|3.0|Water Resources Research|Origin and Distribution of Sulfate in a Fractured Till in Southern Alberta, Canada
1987|25.0|1.5|New Phytologist|COMPARATIVE STUDIES OF PLANT GROWTH AND DISTRIBUTION IN RELATION TO WATERLOGGING
1988|11.0|3.0|Journal of Archaeological Science|The use of soil chemistry data to address post-mortem diagenesis in bone mineral
1989|13.0|3.0|Geochimica et Cosmochimica Acta|Reductive dissolution of goethite by phenolic reductants
1990|27.0|4.0|Nutrient Cycling in Agroecosystems|Rock phosphates are not effective fertilizers in Western Australian soils: a review of one hundred years of research.
1991|21.0|4.0|Geochimica et Cosmochimica Acta|Chemical characteristics and acidity of soluble organic substances from a northern hardwood forest floor, central Maine, USA
1992|58.0|4.0|Geochimica et Cosmochimica Acta|A unifying model of cation binding by humic substances
1993|80.0|3.5|Global Biogeochemical Cycles|Terrestrial ecosystem production: A process model based on global satellite and surface data
1994|24.0|2.5|Global Biogeochemical Cycles|Soilatmosphere exchange of nitrous oxide, nitric oxide, and methane under secondary succession of pasture to forest in the Atlantic lowlands of Costa Rica
1995|30.0|4.0|Ecology|Changes in Soil Phosphorus Fractions and Ecosystem Dynamics across a Long Chronosequence in Hawaii
1996|15.0|2.0|Nordic Journal of Botany|Soil chemistry and plant distributions in rock habitats of southern Sweden
1997|27.0|3.0|Environmental Toxicology and Chemistry|Factors affecting sequestration and bioavailability of phenanthrene in soils
1998|29.0|4.0|Water Air and Soil Pollution|Synthesis of Nitrogen Pools and Fluxes from European Forest Ecosystems
1999|20.0|6.0|Applied and Environmental Microbiology|Formation of Bound Residues during Microbial Degradation of [14C]Anthracene in Soil
2000|80.0|5.0|Global Change Biology|Soil carbon sequestration and landuse change: processes and potential
2001|38.0|7.0|Environmental and Experimental Botany|Wetland plant responses to soil flooding
2002|29.0|6.0|Forest Ecology and Management|Permeability of ancient forest edges for weedy plant species invasion
2003|131.0|7.0|Annual Review of Ecology, Evolution, and Systematics|Urban Ecological Systems: Linking Terrestrial Ecological, Physical, and Socioeconomic Components of Metropolitan Areas1
2004|40.0|7.0|Forest Ecology and Management|The impact of six European tree species on the chemistry of mineral topsoil in forest plantations on former agricultural land
2005|49.0|7.0|Environmental Chemistry|Predicting the Bioavailability of Metals and Metal Complexes: Critical Review of the Biotic Ligand Model
2006|65.0|9.5|Journal of Ecology|Plant species and functional group effects on abiotic and microbial soil properties and plantsoil feedback responses in two grasslands
2007|64.0|7.0|Soil Biology & Biochemistry|Invasion of a deciduous forest by earthworms: changes in soil chemistry, microflora, microarthropods and vegetation.
2008|120.0|6.0|Ecological Monographs|Origin, Composition, and Flux of Dissolved Organic Carbon in the Hubbard Brook Valley
2009|187.0|10.0|Soil Science|Impact of biochar amendment on fertility of a southeastern Coastal Plain soil.
2010|89.0|8.0|Animal|Mitigating the greenhouse gas balance of ruminant production systems through carbon sequestration in grasslands
