----  Field Name Solid mechanics
----  Field Level 2.0
----  Field Papers Number 65511
----  All time max citation paper Measurement of the Elastic Properties and Intrinsic Strength of Monolayer Graphene, 2008, (4174.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1937|0|0.0|Philosophical Magazine Series 1|XXXVII. A dynamical method for the measurement of Young's Modulus for imperfectly elastic metals, and the application of the method to nickel and some of its alloys
1944|0|0.0||Bionomics and Control of the Nigra Scale, Saissetia nigra.
1946|1.0|1.0|Annals of Applied Biology|A mosaic disease of cowpea (Vigna sinensis Endl.)
1948|1.0|1.0|Annals of Applied Biology|Observations on a Virus Disease of certain Crucifers in Trinidad.
1949|3.0|3.0|Journal of Applied Physics|The Compatibility, Efficiency and Permanence of Plasticizers
1950|7.0|3.5|Journal of Applied Physics|Mechanical and Electrical Properties of Plasticized Vinyl Chloride Compositions
1951|1.0|1.0|Journal of Applied Physics|Relation of Tensile Strength to Brittle Temperature in Plasticized Polymers
1952|1.0|1.0|Journal of Chemical Physics|Statistical Theory of Networks of NonGaussian Flexible Chains
1953|1.0|0.0|Journal of Chemical Physics|On the Kinetics of the DisorderOrder Transformation in Cu3Au
1955|3.0|1.0|Journal of Applied Physics|Creep of Zinc Crystals
1956|8.0|5.0|Journal of Applied Physics|Transformations in Disordered Gold Copper Alloys
1957|5.0|2.0|Microbiology|Autolytic Release and Osmotic Properties of Protoplasts from Staphylococcus aureus
1958|5.0|2.0|Journal of the American Ceramic Society|HighTemperature Mechanical Properties of Ceramic Materials: I, Magnesium Dititanate
1959|7.0|5.0|Progress in Metal Physics|X-RAY STUDIES OF DEFORMED METALS
1960|34.0|6.5|Physics of Fluids|Irreversible Processes in Ionized Gases
1961|10.0|2.0|Nuclear Physics|NUCLEAR OCTUPOLE DEFORMATION AND THE MECHANISM OF FISSION
1962|18.0|1.5|Journal of Applied Physics|CHEMICAL ETCHING OF CHARGED-PARTICLE TRACKS IN SOLIDS
1963|37.0|2.0|Journal of Geophysical Research|Whistler evidence of a knee in the magnetospheric ionization density profile
1964|11.0|1.5|Journal of the American Ceramic Society|Creep, Strength, Expansion, and Elastic Moduli of Sintered BeO As a Function of Grain Size, Porosity, and Grain Orientation
1965|27.0|1.0|Journal of Geophysical Research|Some new measurements of linear compressibility of rocks
1966|15.0|2.0|Journal of Geophysical Research|Elasticity of ultrabasic rocks
1967|9.0|1.0|Geochimica et Cosmochimica Acta|Some characteristics of enstatite from enstatite achondrites.
