----  Field Name Statistical genetics: 
----  Field Level 2.0: 
----  Field Papers Number 1999:
----  All time max citation paper: Bivariate quantitative trait linkage analysis: Pleiotropy versus coincident linkages, 1997, (213.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1977|0|0.0|Journal of Human Genetics|Studies of red blood cell and serum polymorphisms among the Matagi
1978|2.0|0.0|Journal of Human Genetics|A case of a reciprocal translocation between the Y and No. 1 chromosomes
1979|1.0|1.0|Journal of Human Genetics|Genetic evidence of gene flow from Indians to Malays
1980|6.0|1.0|Journal of Human Genetics|Genetic polymorphism of the second component of human complement (C2) in Japanese
1981|1.0|0.0|Journal of Human Genetics|Polymorphism and evolution of the Rh blood groups
1982|8.0|1.0|Journal of Human Genetics|Chromosome banding studies in 106 cases of chronic myelogenous leukemia
1983|1.0|0.0|Journal of Human Genetics|The sensitivities to radiations and radiomimetic chemicals of cells from patients with ataxia telangiectasia
1984|4.0|0.5|Journal of Human Genetics|Patients with tuberous sclerosis have fibroblasts with normal limits for growth characteristics and sensitivities to DNA alkylating agents
1985|2.0|1.0|Journal of Human Genetics|Genetic polymorphism of transferrin in Egyptians: Analysis by two electrofocusing methods with description of unusual B variant
1986|4.0|0.0|Journal of Human Genetics|Mitochondrial DNA polymorphism in Japanese living in Hokkaido
1987|4.0|0.0|Journal of Human Genetics|Diagnosis of Duchenne and Becker muscular dystrophies by DNA polymorphism
1988|3.0|0.0|Journal of Human Genetics|Chromosome abnormalities and epileptic seizures
1989|2.0|0.0|Journal of Human Genetics|Cytogenetic aspects of cancer-predisposing genes
1990|4.0|0.0|Journal of Human Genetics|Gene deletions in Japanese patients with Duchenne and Becker muscular dystrophy
1991|3.0|0.0|Journal of Human Genetics|Gene-deletion and carrier detections, and prenatal diagnosis of Duchenne muscular dystrophy by analysis of the dystrophin gene amplified by polymerase chain reaction
1992|4.0|0.0|Journal of Human Genetics|Point mutations of rhodopsin gene found in Japanese families with autosomal dominant retinitis pigmentosa (ADRP).
1993|5.0|0.0|Journal of Human Genetics|Precise mapping of the EGF receptor gene on the human chromosome 7p12 using an improved FISH technique
1994|10.0|0.0|Journal of Human Genetics|Genetic Heterogeneity of Dominantly Inherited Olivopontocerebellar Atrophy(OPCA) in the Japanese--Linkage Study of Two Pedigrees and Evidence for the Disease Locus on Chromosome 12q(SCA2)
1995|3.0|1.0|Journal of Human Genetics|A point mutation, C to T, in exon 8 of the porphobilinogen deaminase gene in a Japanese family with acute intermittent porphyria
1996|5.0|1.0|Journal of Human Genetics|A common mutation in methylenetetrahydrofolate reductase gene among the Japanese population.
1997|41.0|0.0|Genetic Epidemiology|Multipoint oligogenic linkage analysis of quantitative traits
1998|21.0|7.5|American Journal of Human Genetics|A Test Statistic to Detect Errors in Sib-Pair Relationships
1999|31.0|11.5|American Journal of Human Genetics|Joint Multipoint Linkage Analysis of Multivariate Qualitative and Quantitative Traits. II. Alcoholism and Event-Related Potentials
2000|44.0|4.0|Genetic Epidemiology|Robust LOD scores for variance componentbased linkage analysis
2001|26.0|13.0|American Journal of Human Genetics|Genetics of Event-Related Brain Potentials in Response to a Semantic Priming Paradigm in Families with a History of Alcoholism
2002|109.0|7.5|Journal of Human Genetics|Gene-based SNP discovery as part of the Japanese Millennium Genome Project: identification of 190 562 genetic variations in the human genome
2003|76.0|5.5|Journal of Human Genetics|LMNA is mutated in Hutchinson-Gilford progeria (MIM 176670) but not in Wiedemann-Rautenstrauch progeroid syndrome (MIM 264090)
2004|68.0|7.0|Journal of Human Genetics|LRP5, low-density-lipoprotein-receptor-related protein 5, is a determinant for bone mineral density
2005|78.0|8.0|Journal of Human Genetics|Ethnic differences in allele frequency of autoimmune-disease-associated SNPs
2006|76.0|7.0|Journal of Human Genetics|Evolutionary dynamics of olfactory and other chemosensory receptor genes in vertebrates.
2007|66.0|8.0|Journal of Human Genetics|Recent progress in genetics of Marfan syndrome and Marfan-associated disorders
2008|102.0|9.0|Journal of Human Genetics|Variations in the FTO gene are associated with severe obesity in the Japanese
2009|105.0|9.5|Journal of Human Genetics|The HLA genomic loci map: expression, interaction, diversity and disease
2010|81.0|7.0|Journal of Human Genetics|Association of the oxytocin receptor (OXTR) gene polymorphisms with autism spectrum disorder (ASD) in the Japanese population
