----  Field Name Statistical mechanics
----  Field Level 2.0
----  Field Papers Number 126303
----  All time max citation paper Very high resolution interpolated climate surfaces for global land areas, 2005, (4687.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1929|1.0|1.0|JAMA Pediatrics|THE ULTRAVIOLET COMPONENT OF THE SUNLIGHT OF PORTLAND, ORE.: MEASURED BY THE ACETONE-METHYLENE BLUE METHOD
1930|2.0|0.0|Journal of Dairy Research|Methods of Determining the Numbers of Bacteria in Milk
1934|3.0|3.0|Journal of Chemical Physics|The InterRelations of Hydrogen and Deuterium Molecules
1935|2.0|1.0|Transactions of the American Mathematical Society|Distribution functions and the Riemann zeta function
1936|2.0|1.0|Journal of Chemical Physics|The Absolute Rates of Reaction of Hydrogen with the Halogens
1937|3.0|1.0|Journal of Chemical Physics|The Entropies of nButane and Isobutane, with Some Heat Capacity Data for Isobutane
1938|9.0|4.0|Journal of Chemical Physics|A Kinetic Approach to the Theory of Conductance of Infinitely Dilute Solutions, Based on the ``Cage'' Model of Liquids
1939|2.0|0.0|Physica D: Nonlinear Phenomena|The influence of the interaction of more than two molecules on the molecular distribution-function in compressed gases
1940|12.0|0.0|Journal of Genetics|An experiment on chromosome fragmentation in Tradescantia by X-rays.
1941|4.0|1.0|Journal of Chemical Physics|Dispersion and Absorption in Dielectrics I. Alternating Current Characteristics
1942|2.0|1.5|JAMA|Staphylococeie Infection Simulating Scarlet Fever.
1943|1.0|1.0||Onion downy mildew.
1944|11.0|8.0|Journal of Chemical Physics|Thermodynamics of Heterogeneous Polymers and Their Solutions
1945|14.0|11.5|Journal of Chemical Physics|Thermodynamics of Dilute Solutions of High Polymers
1946|17.0|3.0|Journal of Chemical Physics|Application of the Methods of Molecular Distribution to Solutions of Large Molecules
1947|2.0|1.5|Transactions of The Royal Society of Tropical Medicine and Hygiene|Studies in leishmaniasis in the Anglo-Egyptian Sudan IX. Further observations on the sandflies ( Phlebotomus ) of the Sudan
1948|2.0|2.0|Journal of Applied Physics|On Creep and Relaxation. II.
1949|10.0|4.0|Journal of Chemical Physics|Spectroscopic Studies of Rotational Isomerism. III. The Normal Paraffins in the Liquid and Solid States
1950|13.0|2.0|Journal of Chemical Physics|Radial Distribution Functions and the Equation of State of a Fluid Composed of Rigid Spherical Molecules
1951|9.0|3.0|Journal of Applied Physics|Mechanical Properties of Substances of High Molecular Weight. X. The Relaxation Distribution Function in Polyisobutylene and Its Solutions
1952|9.0|1.5|Journal of Chemical Physics|The Excluded Volume of Polymer Chains
1953|10.0|1.0|Journal of Applied Physics|Dynamic Mechanical Properties of the System PolystyreneDecalin
1954|5.0|1.0|Psychometrika|The concept of parsimony in factor analysis
1955|10.0|1.0|Journal of Chemical Physics|Spherical Interface. II. Molecular Theory
1956|12.0|1.5|Journal of Chemical Physics|Boltzmann Equation from the Statistical Mechanical Point of View
1957|18.0|1.0|Journal of Chemical Physics|Monte Carlo Equation of State of Molecules Interacting with the LennardJones Potential. I. A Supercritical Isotherm at about Twice the Critical Temperature
1958|20.0|4.0|Journal of Chemical Physics|Statistical Mechanics of Transport Processes. XI. Equations of Transport in Multicomponent Systems
1959|27.0|1.0|Physics of Fluids|Interferometric Measurement in the Shock Tube of the Dissociation Rate of Oxygen
1960|34.0|2.0|Physics of Fluids|Irreversible Processes in Ionized Gases
1961|31.0|4.0|Physics of Fluids|Turbulent Structure of Gaseous Detonation
1962|37.0|1.0|Journal of Chemical Physics|HEAT CONDUCTIVITY OF POLYATOMIC AND POLAR GASES
1963|21.0|3.0|Journal of Chemical Physics|FORMAL KINETIC THEORY OF TRANSPORT PHENOMENA IN POLYATOMIC GAS MIXTURES
1964|26.0|2.5|Journal of Mathematical Physics|Correlation Functions and the Critical Region of Simple Fluids
1965|67.0|1.0|Journal of Geophysical Research|Electron and molecular nitrogen temperature and density in the thermosphere.
1966|54.0|1.0|Journal of Geophysical Research|Mariner 2 observations of the solar wind: 1. Average properties
1967|35.0|1.0|Journal of Cell Biology|The renewal of photoreceptor cell outer segments.
1968|33.0|1.0|Journal of Geophysical Research|Universaltime control of the lowenergy electron fluxes in the polar regions
1969|32.0|2.0|Communications in Mathematical Physics|Observables at infinity and states with short range correlations in statistical mechanics
1970|27.0|1.0|The Journal of Membrane Biology|Membrane excitability and dissipative instabilities
1971|29.0|2.0|Journal of Bacteriology|Temperature Control of Phospholipid Biosynthesis in Escherichia coli
1972|41.0|1.0|Geochimica et Cosmochimica Acta|Oxygen isotope cosmothermometer
1973|41.0|1.0|Journal of Geophysical Research|Atmospheric and surface properties of Mars obtained by infrared spectroscopy on Mariner 9
1974|56.0|2.0|Journal of Geophysical Research|The proton ring current and its interaction with the plasmapause: Storm recovery phase
1975|65.0|2.0|Communications in Mathematical Physics|Particle creation by black holes
1976|46.0|2.0|Journal of Geophysical Research|Volcanic explosions and climatic change: A theoretical assessment
1977|38.0|2.0|Earth and Planetary Science Letters|Nebular condensation of moderately volatile elements and their abundances in ordinary chondrites
1978|82.0|2.0|Journal of Chemical Physics|Theory of unimolecular reactions induced by monochromatic infrared radiation
1979|64.0|2.0|Geophysical Research Letters|Association of lowfrequency waves with suprathermal ions in the upstream solar wind
1980|71.0|2.0|Journal of Geophysical Research|Sensitivity of a global climate model to an increase of CO2 concentration in the atmosphere
1981|40.0|2.0|Journal of Geophysical Research|Characteristics of reflected and diffuse ions upstream from the Earth's bow shock
1982|39.0|2.0|Geophysical Research Letters|Escape of heated ions upstream of quasiparallel shocks
1983|68.0|2.0|Journal of Chemical Physics|Direct inelastic scattering of nitric oxide from clean Ag(111): Rotational and fine structure distributions
1984|100.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images
1985|90.0|2.0|Journal of Chemical Physics|Dynamics of gassurface interactions: Scattering and desorption of NO from Ag(111) and Pt(111)
1986|63.0|2.0|Journal of Chemical Physics|Dynamics of H2O2 photodissociation: OH product state and momentum distribution characterized by subDoppler and polarization spectroscopy
1987|107.0|2.0|Reviews of Geophysics|Climate model simulations of the equilibrium climatic response to increased carbon dioxide
1988|73.0|2.0|Journal of Chemical Physics|Desorption kinetics of hydrogen and deuterium from Si(111) 77 studied using laserinduced thermal desorption
1989|156.0|2.0|Proceedings of the IEEE|Time-frequency distributions-a review
1990|69.0|2.0|Nuclear Physics|Mean field theory, topological field theory, and multi-matrix models
1991|70.0|2.0|Journal of Chemical Physics|Potential energy surfaces, quasiadiabatic channels, rovibrational spectra, and intramolecular dynamics of (HF)2 and its isotopomers from quantum Monte Carlo calculations
1992|100.0|2.0|Journal of Geophysical Research|Ocean general circulation from a global eddyresolving model
1993|87.0|2.0|Proceedings of the IEEE|Signal compression based on models of human perception
1994|78.0|2.0|Statistical Science|Neural Networks: A Review from a Statistical Perspective
1995|269.0|2.0|Protein Science|Principles of protein folding--a perspective from simple exact models.
1996|223.0|2.0|IEEE Transactions on Information Theory|Iterative decoding of binary block and convolutional codes
1997|336.0|3.0|Journal of Computational Physics|High resolution schemes for hyperbolic conservation laws
1998|220.0|3.0|Proceedings of the National Academy of Sciences of the United States of America|A unified view of polymer, dumbbell, and oligonucleotide DNA nearest-neighbor thermodynamics.
1999|546.0|3.0|Nature|Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica
2000|253.0|4.0|Proceedings of the National Academy of Sciences of the United States of America|An efficient recombination system for chromosome engineering in Escherichia coli
2001|238.0|4.0|Nature|Recent patterns and mechanisms of carbon exchange by terrestrial ecosystems
2002|734.0|4.0|Nature|Ecological responses to recent climate change
2003|493.0|5.0|Annual Review of Physiology|HEAT-SHOCK PROTEINS, MOLECULAR CHAPERONES, AND THE STRESS RESPONSE: Evolutionary and Ecological Physiology
2004|250.0|5.0|Progress in Polymer Science|Stimuli-reponsive polymers and their bioconjugates
2005|801.0|5.0|International Journal of Climatology|Very high resolution interpolated climate surfaces for global land areas
2006|606.0|4.0|Proceedings of the National Academy of Sciences of the United States of America|Microbial diversity in the deep sea and the underexplored rare biosphere
