----  Field Name Structural biology: 
----  Field Level 2.0: 
----  Field Papers Number 19658:
----  All time max citation paper: Initial sequencing and analysis of the human genome, 2001, (10313.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1969|19.0|11.5|Nature|Recognition of Bacterial Initiator tRNA by Initiation Factors
1971|30.0|2.0|Nature|Estimation of Secondary Structure in Ribonucleic Acids
1972|12.0|12.0|Nature|Spontaneous Release of Type C Viruses from Clonal Lines of Spontaneously Transformed Balb/3T3 Cells
1973|2.0|2.0|Molecular Genetics and Genomics|Location of DNA methylation genes on the Escherichia coli K-12 genetic map
1974|19.0|17.5|Nature|Stratospheric sink for chlorofluoromethanes: chlorine atomc-atalysed destruction of ozone
1975|557.0|13.0|Nature|Identification of two related pentapeptides from the brain with potent opiate agonist activity
1976|168.0|12.5|Nature|C fragment of lipotropin has a high affinity for brain opiate receptors
1977|67.0|8.5|Nature|Role of prostaglandin endoperoxide PGG2 in inflammatory processes
1978|3.0|3.0|Journal of Supramolecular Structure|Topology of aminophospholipids in the red cell membrane
1979|2.0|1.5|Mutation Research|Characterization of DNA adenine methylation mutants of Escherichia coli K12
1980|406.0|42.0|Nature|The role of hormone receptors and GTP-regulatory proteins in membrane transduction.
1982|17.0|4.5|Neuroscience|Efferent connections of dorsal and ventral agranular insular cortex in the hamster, Mesocricetus auratus.
1983|12.0|7.0|Journal of Food Science|Effect of Postmortem Storage on Degradation of the Myofibrillar Protein Titin in Bovine Longissimus Muscle
1984|22.0|8.0|Journal of Molecular Biology|Purification and properties of native titin
1985|4.0|3.0|Journal of Muscle Research and Cell Motility|Immunocytochemical studies using a monoclonal antibody to bovine cardiac titin on intact and extracted myofibrils
1986|25.0|5.5|Nature|A physiological role for titin and nebulin in skeletal muscle.
1987|11.0|7.0|Journal of Geophysical Research|Filamentary structures in the magnetotail lobes
1988|12.0|3.0|Biochemical and Biophysical Research Communications|Giant polypeptides of skeletal muscle titin: Sedimentation equilibrium in guanidine hydrochloride
1989|32.0|7.0|Journal of Molecular Biology|Does titin regulate the length of muscle thick filaments?
1990|16.0|9.0|Proteins|Prediction of homologous protein structures based on conformational searches and energetics
1991|51.0|1.0|Journal of Molecular Biology|Protein docking and complementarity
1992|22.0|1.5|Proteins|Multiple protein sequence alignment from tertiary structure comparison: Assignment of global and residue confidence levels
1993|43.0|3.0|Cognitive Psychology|Structural Alignment during Similarity Comparisons
1994|43.0|1.0|Trends in Biochemical Sciences|Titin and nebulin: protein rulers in muscle?
1995|40.0|7.0|Journal of Molecular Biology|Force-induced conformational change of bacteriorhodopsin
1996|134.0|5.0|Journal of Molecular Graphics|VMD-Visual Molecular Dynamics
1997|1035.0|43.5|Nature|Functional rafts in cell membranes
1998|2478.0|43.0|Nature|Dendritic cells and the control of immunity
1999|798.0|41.0|Nature|Molecular characterization of mitochondrial apoptosis-inducing factor
2000|1400.0|43.0|Nature|Distinct types of diffuse large B-cell lymphoma identified by gene expressionprofiling
2001|4579.0|33.0|Nature|Initial sequencing and analysis of the human genome
2002|1438.0|35.0|Nature|Pluripotency of mesenchymal stem cells derived from adult marrow
2003|1006.0|44.0|Nature|The International HapMap Project
2004|1050.0|43.0|Nature|Identification of human brain tumour initiating cells
2005|1559.0|44.0|Nature|MicroRNA expression profiles classify human cancers.
2006|1988.0|31.0|Nature|Reciprocal developmental pathways for the generation of pathogenic effector TH17 and regulatory T cells
2007|1465.0|32.0|Nature|A second generation human haplotype map of over 3.1 million SNPs.
2008|2058.0|41.0|Nature Protocols|Analyzing real-time PCR data by the comparative CT method
2009|5660.0|46.0|Nature Protocols|Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources.
2010|2096.0|32.0|Nature|A human gut microbial gene catalogue established by metagenomic sequencing
