----  Field Name Symbolic computation: 
----  Field Level 2.0: 
----  Field Papers Number 3629:
----  All time max citation paper: Graph-Based Algorithms for Boolean Function Manipulation, 1986, (3698.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|1.0|1.0|Transactions of the American Mathematical Society|Computable algebra, general theory and theory of computable fields.
1966|0|0.0|Journal of the ACM|An Abstract Machine for Symbolic Computation
1968|3.0|3.0|Communications of The ACM|An algorithm for deriving the equations of mathematical physics by symbolic manipulation
1971|11.0|5.0||SCRATCHPAD/1: An interactive facility for symbolic mathematics
1972|0|0.0|Communications of The ACM|Index ranges for matrix calculi
1973|3.0|2.0|IEEE Transactions on Circuit Theory|A Boolean algebra method for computing the terminal reliability in a communication network
1974|6.0|3.0|Communications of The ACM|Two languages for estimating program efficiency
1975|3.0|0.0||The SCRATCHPAD system
1976|18.0|2.0|international conference on software engineering|The design of the PSI program synthesis system
1977|5.0|4.0|international joint conference on artificial intelligence|A knowledge-based system for automatic program construction
1978|0|0.0||Symbolic Computation: Past, Present and Future
1979|7.0|3.0|Computer Physics Communications|Applications of symbolic algebraic computation
1980|0|0.0|ACM Sigsam Bulletin|A complete list of references for the paper: a remark on the proposed syllabus for an AMS short course on computer algebra
1981|9.0|2.0||A language for computational algebra
1982|16.0|7.0|compiler construction|An optimizing compiler for lexically scoped LISP
1983|15.0|11.0|international conference on computer graphics and interactive techniques|Ray tracing algebraic surfaces
1984|12.0|8.0|ACM Transactions on Mathematical Software|Differentiation in PASCAL-SC: type GRADIENT
1985|68.0|3.0|ACM Transactions on Programming Languages and Systems|MULTILISP: a language for concurrent symbolic computation
1986|87.0|3.0|IEEE Transactions on Computers|Graph-Based Algorithms for Boolean Function Manipulation
1987|8.0|3.0||Le Fun: Logic, equations, and Functions
1988|36.0|1.0|international symposium on computer architecture|MASA: a multithreaded processor architecture for parallel symbolic computing
1989|10.0|1.0|Educational Studies in Mathematics|Technology and Mathematics Education: A Survey of Recent Developments and Important Problems
1990|50.0|1.0|Journal of Experimental and Theoretical Artificial Intelligence|Minds, machines, and Searle
1991|25.0|1.5|Computer Physics Communications|The computer calculation of Lie point symmetries of large systems of differential equations
1992|156.0|2.0|ACM Computing Surveys|Symbolic Boolean manipulation with ordered binary-decision diagrams
1993|31.0|1.0|Journal of Logic Programming|Towards a meaning of life
1994|16.0|1.0|IEEE Transactions on Neural Networks|Hierarchical intelligent control for robotic motion
1995|48.0|1.0|Communications of The ACM|LEDA: a platform for combinatorial and geometric computing
1996|23.0|2.0|computational science and engineering|Adifor 2.0: automatic differentiation of Fortran 77 programs
1997|101.0|1.0|Journal of Symbolic Computation|The MAGMA algebra system I: the user language
1998|62.0|2.0|ACM Transactions on Mathematical Software|Recipes for adjoint code construction
1999|41.0|2.0|Computer Physics Communications|Automated one-loop calculations in four and D dimensions
2000|110.0|2.0|Physics Letters A|Extended tanh-function method and its applications to nonlinear equations
2001|51.0|3.0|Physics Letters A|New explicit travelling wave solutions for two new integrable coupled nonlinear evolution equations
2002|117.0|2.0|NeuroImage|Automatic differentiation of anatomical patterns in the human brain: Validation with studies of degenerative dementias
2003|43.0|3.0|ACM Transactions on Mathematical Software|CUTEr and SifDec: A constrained and unconstrained testing environment, revisited
2004|67.0|3.0|Journal of Theoretical Biology|A Computational Algebra Approach to the Reverse Engineering of Gene Regulatory Networks
2005|53.0|3.0|Journal of Computational Physics|The inverse source problem based on the radiative transfer equation in optical molecular imaging
2006|52.0|3.0|Physics Letters A|New solitons and periodic wave solutions for nonlinear evolution equations
2007|177.0|3.0|Computers & Mathematics With Applications|Variational iteration method: New development and applications
2008|62.0|3.0|Chaos Solitons & Fractals|Application of Exp-function method to high-dimensional nonlinear evolution equation
2009|47.0|3.0|Computer Physics Communications|The Multiple Zeta Value data mine
2010|72.0|3.0|BMC Bioinformatics|Sensitivity analysis of dynamic biological systems with time-delays
