----  Field Name Temporal difference learning: 
----  Field Level 2.0: 
----  Field Papers Number 1189:
----  All time max citation paper: Learning to Predict by the Methods of Temporal Differences, 1988, (1260.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|5.0|5.0|Histochemistry and Cell Biology|ber die Entwicklung und Chemodifferenzierung des Kleinhirns der Ratte
1970|1.0|1.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Bilateral symmetry in the mediation of circadian differences in earthworms
1973|0|0.0|Pesticide Biochemistry and Physiology|An examination of temporal differences in the action of carbamate and organophosphorus insecticides on houseflies
1974|4.0|2.5|Oecologia|Dietary differences between two co-occurring calanoid copepod species
1975|0|0.0|Attention Perception & Psychophysics|Interaural time vs. interaural intensity in a lateralization paradigm
1976|1.0|1.0|Anatomy and Embryology|Fluorescence Microscopic Study of the Behaviour of DANS-marked Histidine in the Rat Brain after Intraventricular Injection
1977|5.0|2.5|Oecologia|Role of temperature in the germination ecology of three summer annual weeds
1978|3.0|1.5|Journal of Fish Biology|Cytological evidence for temporal differences during the asynchronous ovarian maturation of bisexual and unisexual fishes of the genus Poecilia
1979|9.0|9.0|Journal of Computational Physics|Analysis of the time integration in plasma simulation
1980|7.0|7.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Spatial gradient detection of chemical cues by catfish
1981|47.0|2.5|Earth and Planetary Science Letters|143 Nd/ 144 Nd, 87 Sr/ 86 Sr and trace element constraints on the petrogenesis of Aleutian island arc magmas
1982|7.0|4.0|Journal of Psychosomatic Research|The effectiveness of attention and rejection as coping styles: A meta-analysis of temporal differences
1983|10.0|6.0|The Journal of Neuroscience|Embryonic development of the leech nervous system: primary axon outgrowth of identified neurons
1984|0|0.0|Coral Reefs|Sponge-mediated coral reef growth and rejuvenation
1985|9.0|5.5|Attention Perception & Psychophysics|Hemispheric symmetry in contrast and orientation sensitivity
1986|3.0|1.5|Bulletin of Volcanology|Petrology of seamounts northwest of Samoa and their relation to Samoan volcanism
1987|4.0|2.0|Marine Biology|Short-term stability of genetic structure in populations of the sea anemone Metridium senile
1988|88.0|4.5|Machine Learning|Learning to Predict by the Methods of Temporal Differences
1989|30.0|7.0|IEEE Control Systems Magazine|Learning to control an inverted pendulum using neural networks
1990|13.0|3.0|Differentiation|Temporal differences in desmin expression between myoblasts from embryonic and adult chicken skeletal muscle
1991|22.0|1.0|The Journal of Neuroscience|A monoclonal antibody that distinguishes between temporal and nasal retinal axons
1992|39.0|8.0|Machine Learning|Practical Issues in Temporal Difference Learning
1993|19.0|6.0|Machine Learning|Genetic Reinforcement Learning for Neurocontrol Problems
1994|23.0|3.0|Environmental Toxicology and Chemistry|Toxicity of metalcontaminated sediments from the upper clark fork river, montana, to aquatic invertebrates and fish in laboratory exposures
1995|62.0|6.0|Communications of The ACM|Temporal difference learning and TD-Gammon
1996|36.0|2.0|Machine Learning|Reinforcement learning with replacing eligibility traces
1997|89.0|2.0|Current Opinion in Neurobiology|Dopamine neurons and their role in reward mechanisms
1998|69.0|4.0|Trends in Cell Biology|Proteolytic ratchets that control progression through mitosis
1999|43.0|5.5|Precambrian Research|The thermal history of the Eastern Ghats Belt (India) as revealed by U-Pb and 40Ar/39Ar dating of metamorphic and magmatic minerals: implications for the SWEAT correlation
2000|87.0|6.0|neural information processing systems|Policy Gradient Methods for Reinforcement Learning with Function Approximation
2001|87.0|8.0|Developmental Cell|Scc1/Rad21/Mcd1 Is Required for Sister Chromatid Cohesion and Kinetochore Function in Vertebrate Cells
2002|169.0|8.0|Neuron|Synaptic Mechanisms Underlie Nicotine-Induced Excitability of Brain Reward Areas
2003|189.0|6.5|Neuron|Temporal Difference Models and Reward-Related Learning in the Human Brain
2004|145.0|7.0|Nature|Temporal difference models describe higher-order learning in humans
2005|61.0|5.0|Molecular Ecology|Marine landscapes and population genetic structure of herring (Clupea harengus L.) in the Baltic Sea
2006|133.0|5.0|NeuroImage|A temporal comparison of BOLD, ASL, and NIRS hemodynamic responses to motor stimuli in adult humans
2007|214.0|6.0|Photochemical and Photobiological Sciences|Changes in biologically-active ultraviolet radiation reaching the Earth's surface
2008|282.0|6.0|Australian Journal of Botany|'Breathing' of the terrestrial biosphere: lessons learned from a global network of carbon dioxide flux measurement systems
2009|74.0|6.0|Journal of Mathematical Psychology|Reinforcement learning in the brain
2010|52.0|5.0|Synthesis Lectures on Artificial Intelligence and Machine Learning|Algorithms for Reinforcement Learning
