----  Field Name Topography: 
----  Field Level 2.0: 
----  Field Papers Number 52237:
----  All time max citation paper: Energy-efficient communication protocol for wireless microsensor networks, 2000, (2574.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1931|0|0.0|Zoomorphology|Beitr?ge zur morphologie und physiologie der sehorgane der cicindelinen (Col.)
1933|0|0.0|Protoplasma|I Risultati dell'indagine morfologica e le piu recenti teorie della contrazione muscolare
1940|0|0.0|Ecological Monographs|Berkshire plateau vegetation, Massachusetts.
1947|2.0|2.0|Transactions of The Royal Society of Tropical Medicine and Hygiene|Studies in leishmaniasis in the Anglo-Egyptian Sudan IX. Further observations on the sandflies ( Phlebotomus ) of the Sudan
1949|3.0|2.0|Microbiology|The Investigation of Influenza and Related Viruses in the Electron Microscope, by a New Technique
1950|0|0.0|Nature|Excess of Positive Mesons in Cosmic Rays
1951|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|ON THE SCATTERING OF MESONS IN A 2-CM LEAD PLATE
1952|0|0.0|Philosophical Magazine Series 1|LXIX. A heavy particle selector
1953|0|0.0|Journal of Atmospheric and Solar-Terrestrial Physics|Ions and condensation nuclei in the atmosphere, balance of ions and value of cosmic radiation at sea level
1954|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|North-south asymmetry of cosmic rays
1955|1.0|0.5|Journal of the Physical Society of Japan|ON THE MOMENTUM SPECTRUM OF $mu$-MESONS NEAR SEA-LEVEL AT 24 N
1956|0|0.0|Journal of the Physical Society of Japan|A Cloud Chamber Study of the Cosmic-Ray Hard Showers
1957|3.0|1.0|American Heart Journal|Electrocardiographic observations on ten subjects at sea level and during one year of residence at high altitudes
1958|5.0|0.0|Eos, Transactions American Geophysical Union|The geochemistry of tritium
1959|0|0.0|Journal of Cell Biology|C14 Assays and Autoradiographic Studies on the Rooster Comb
1960|25.0|1.0|Microbiology|The genetic control of the enzymes of histidine biosynthesis in Salmonella typhimurium.
1961|17.0|4.0|Physics and Chemistry of The Earth|Eustatic changes in sea level
1962|8.0|0.0|The Journal of Geology|Pleistocene Ice Volumes and Sea-Level Lowering
1963|27.0|5.0|Journal of Geophysical Research|Structure of the crust and upper mantle in the western United States
1964|29.0|2.0|Journal of Geophysical Research|The significance of paleomagnetic results from Africa
1965|10.0|0.5|Journal of Geophysical Research|Highenergy solar neutrons: 2. Flux at the Earth
1966|7.0|2.0|Journal of Geophysical Research|Lunar radar measurements of the Earth's magnetospheric wake
1967|19.0|1.5|Journal of Geophysical Research|Confinement of a magnetic field by a beam of ions
1968|32.0|3.0|Science|Sea Levels during the Past 35,000 Years
1969|21.0|3.0|Journal of Dairy Science|Enzyme and Metabolite Levels in Mammary and Abdominal Adipose Tissue of Lactating Dairy Cows1,2
1970|33.0|1.5|Journal of Geophysical Research|Flexural rigidity, thickness, and viscosity of the lithosphere
1971|144.0|3.5|Journal of Geophysical Research|Reykjanes ridge crest: A detailed geophysical study
1972|19.0|2.0|Deep Sea Research and Oceanographic Abstracts|Southward penetrations of the North Atlantic polar front: faunal and floral evidence of large-scale surface water mass movements over the last 225,000 years
1973|45.0|3.5|Journal of Geophysical Research|Double ion streams in the solar wind
1974|27.0|1.0|Quaternary Research|Quaternary sea level fluctuations on a tectonic coast: New 230Th234U dates from the Huon Peninsula, New Guinea
1975|35.0|2.0|Journal of Geophysical Research|The isostatic state of Martian topography
1976|73.0|5.0|Journal of Geophysical Research|Ion convection velocity reversals in the dayside cleft
1977|65.0|3.0|Geophysical Research Letters|The sources of island arcs as indicated by Nd and Sr isotopic studies
1978|32.0|3.0|Journal of Geophysical Research|On isostatic geoid anomalies
1979|24.0|3.0|Icarus|Tharsis Province of Mars - Geologic sequence, geometry, and a deformation mechanism
1980|29.0|3.0|Journal of Geophysical Research|Pioneer Venus Radar results: Geology from images and altimetry
1981|57.0|4.0|Geochimica et Cosmochimica Acta|Columbia River volcanism: the question of mantle heterogeneity or crustal contamination
1982|67.0|4.0|Ophthalmology|Argon Laser Trabeculoplasty in the Presurgical Glaucoma Patient
1983|51.0|4.0|Developmental Brain Research|Tetrodotoxin inhibits the formation of refined retinotopography in goldfish
1984|44.0|3.0|Geochimica et Cosmochimica Acta|Isotopic constraints on Columbia River flood basalt genesis and the nature of the subcontinental mantle
1985|104.0|3.0|The Journal of Comparative Neurology|Compartmentalization of the cat lateral gastrocnemius motor nucleus
1986|76.0|4.0|Nature|Oxygen isotopes and sea level
1987|57.0|2.0|Quaternary Science Reviews|Oxygen isotopes, ice volume and sea level
1988|57.0|3.0|Journal of Geophysical Research|Uplift of the Central Andean Plateau and bending of the Bolivian orocline
1989|44.0|3.0|Journal of Geophysical Research|Seasonal variability in global sea level observed with Geosat altimetry
1990|151.0|3.0|international symposium on computer architecture|The directory-based cache coherence protocol for the DASH multiprocessor
1991|79.0|3.0|Journal of Neurochemistry|Selective Increase of Iron in Substantia Nigra Zona Compacta of Parkinsonian Brains
1992|59.0|3.0|Journal of Cell Biology|Cadherin-mediated cell-cell adhesion is perturbed by v-src tyrosine phosphorylation in metastatic fibroblasts.
1993|70.0|3.0|Paleoceanography|On the structure and origin of major glaciation cycles 2. The 100,000year cycle
1994|93.0|3.0|Journal of Geophysical Research|TOPEX/POSEIDON mission overview
1995|83.0|3.0|acm ieee international conference on mobile computing and networking|Improving TCP/IP performance over wireless networks
1996|73.0|3.0|Biogeochemistry|Regional nitrogen budgets and riverine N & P fluxes for the drainages to the North Atlantic Ocean: Natural and human influences
1997|69.0|4.0||The measured access characteristics of world-wide-web client proxy caches
1998|114.0|4.0|Journal of Cell Biology|Vascular Endothelial Growth Factor Induces Endothelial Fenestrations In Vitro
1999|161.0|5.0|Nature|Oceanic forcing of the wintertime North Atlantic Oscillation and European climate
2000|291.0|6.0|hawaii international conference on system sciences|Energy-efficient communication protocol for wireless microsensor networks
2001|235.0|6.0|Journal of the American Statistical Association|Empirical Bayes Analysis of a Microarray Experiment
2002|614.0|7.0|international conference on computer communications|An energy-efficient MAC protocol for wireless sensor networks
2003|462.0|7.0|Journal of Geophysical Research|Effect of grain size sorting on the formation of shorefaceconnected sand ridges
2004|247.0|7.0|Nature Immunology|Notch regulation of lymphocyte development and function
2005|653.0|7.0|Nucleic Acids Research|MAFFT version 5: improvement in accuracy of multiple sequence alignment
2006|455.0|7.0|Perspectives on Sexual and Reproductive Health|Disparities in Rates of Unintended Pregnancy In the United States, 1994 and 2001
2007|260.0|7.0|Water Research|Occurrence and removal of pharmaceuticals and endocrine disruptors in South Korean surface, drinking, and waste waters
2008|374.0|8.0|Science|A Significant Upward Shift in Plant Species Optimum Elevation During the 20th Century
2009|911.0|8.0|PLOS ONE|Substantial contribution of submicroscopical Plasmodium falciparum gametocyte carriage to the infectious reservoir in an area of seasonal transmission.
2010|706.0|8.0|Journal of Geophysical Research|MaddenJulian Oscillation and sea level: Local and remote forcing
