----  Field Name Typography: 
----  Field Level 2.0: 
----  Field Papers Number 3473:
----  All time max citation paper: Inference from Iterative Simulation Using Multiple Sequences, 1992, (2814.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|14.0|14.0|Brain Research|Ascending axon degeneration following hemisection of the spinal cord in the tegu lizard ( Tupinambis nigropunctatus )
1970|10.0|10.0|The Journal of Pediatrics|Polycythemia in cyanotic heart diseasea study of altered coagulation
1971|0|0.0|Journal of Sound and Vibration|ON THE VIBRATION OF AN ELASTIC PLATE ON AN ELASTIC FOUNDATION
1975|12.0|12.0|Atherosclerosis|Familial hyper-HDL-()-cholesterolemia
1977|4.0|3.5|Developmental Biology|Site of action of the crinkled ( cr ) locus in the mouse
1978|0|0.0||Ultrastrukturanalyse der endoplasmatischen Algen von Amphistegina lessonii d'Orbigny, Foraminifera (Protozoa) und ihre systematische Stellung)
1979|49.0|9.0|Neuroscience|Postnatal development of retinal projections in Syrian hamsters: A study using autoradiographic and anterograde degeneration techniques
1980|3.0|1.5|Acta Paediatrica|DTP AND DTPINACTIVATED POLIO VACCINES: COMPARISON OF ADVERSE REACTIONS AND IgG, IgM and IgA ANTIBODY RESPONSES TO DTP
1981|16.0|16.0|Journal of Medical Virology|Optimized enzymelinked immunosorbent assay for detection of human and bovine rotavirus in stools: Comparison with electronmicroscopy, immunoelectroosmophoresis, and fluorescent antibody techniques
1982|2.0|2.0|Applied Ergonomics|Reading upper and lower case on viewdata
1983|9.0|2.0|Brain Research|Stimulation-dependent calcium binding sites in the guinea pig hippocampal slice: and electrophysiological and electron microscopic study
1984|7.0|6.5|Atherosclerosis|Growth properties and composition of cytoskeletal and cytocontractile proteins in aortic cells isolated and cultured from normal and atherosclerotic rabbits
1985|7.0|4.5|The Journal of Allergy and Clinical Immunology|The diversity of reaginic immune responses to platinum and palladium metallic salts
1986|82.0|11.0|Neuroscience|Quantification of immunogold labelling reveals enrichment of glutamate in mossy and parallel fibre terminals in cat cerebellum
1987|29.0|3.5|Neuroscience|Gamma-aminobutyrate-like immunoreactivity in the thalamus of the cat
1988|9.0|2.0|design automation conference|Fast algorithm for optimal layer assignment
1989|4.0|1.0|Gastroenterology|Acid activation of omeprazole in isolated gastric vesicles, oxyntic cells, and gastric glands
1990|20.0|4.0|IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|A genetic approach to standard cell placement using meta-genetic parameter optimization
1991|21.0|3.5|Glia|Ultrastructural identification of HRPinjected oligodendrocytes in the intact rat optic nerve
1992|69.0|3.0|Statistical Science|Inference from Iterative Simulation Using Multiple Sequences
1993|10.0|2.5|Journal of Dairy Science|Sparse Matrix Inversion for Restricted Maximum Likelihood Estimation of Variance Components by Expectation-Maximization
1994|68.0|3.0|Proceedings of the IEEE|Motion and structure from feature correspondences: a review
1995|145.0|5.0|IEEE Transactions on Software Engineering|Specification and analysis of system architecture using Rapide
1996|31.0|4.0|Biology of Reproduction|Initiation in vitro of growth of bovine primordial follicles.
1997|79.0|5.0|computer vision and pattern recognition|Learning and recognizing human dynamics in video sequences
1998|128.0|3.0|Current Opinion in Immunology|Mechanisms of CD95 (APO-1/Fas)-mediated apoptosis.
1999|224.0|3.0|Gastroenterology|Nonalcoholic fatty liver disease: A spectrum of clinical and pathological severity
2000|38.0|4.0|Gastroenterology|Interleukin 15 mediates epithelial changes in celiac disease
2001|45.0|4.0|Journal of Electroanalytical Chemistry|Methanol oxidation on Pt, PtRu, and colloidal Pt electrocatalysts : a DEMS study of product formation
2002|268.0|5.0|Gastroenterology|Mucosal flora in inflammatory bowel disease.
2003|57.0|5.0|Thrombosis Research|The pharmacodynamics and pharmacokinetics of the oral direct thrombin inhibitor ximelagatran and its active metabolite melagatran: a mini-review
2004|224.0|6.0|Journal of Molecular Biology|Structure of Bovine Rhodopsin in a Trigonal Crystal Form
2005|175.0|7.0|Gastroenterology|Current Status of Gastrointestinal Carcinoids
2006|104.0|8.0|Journal of Environmental Management|Bottom up and top down: Analysis of participatory processes for sustainability indicator identification as a pathway to community empowerment and sustainable environmental management
2007|185.0|8.0|Journal of the American College of Cardiology|Tissue Doppler imaging - a new prognosticator for cardiovascular diseases
2008|315.0|6.0|Journal of The American Academy of Dermatology|The classification of inherited epidermolysis bullosa (EB): Report of the Third International Consensus Meeting on Diagnosis and Classification of EB
2009|269.0|5.0|Surface Science|Graphene on metal surfaces
2010|166.0|7.0|computer vision and pattern recognition|Action recognition based on a bag of 3D points
