----  Field Name Unsupervised learning: 
----  Field Level 2.0: 
----  Field Papers Number 4062:
----  All time max citation paper: Data clustering: a review, 1999, (5083.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|9.0|9.0|IEEE Transactions on Computers|Application of the Karhunen-Lo&#232;ve Expansion to Feature Selection and Ordering
1972|1.0|1.0|Pattern Recognition|Unsupervised learning in nongaussian pattern recognition
1975|7.0|7.0|IEEE Transactions on Computers|Optimal Fuzzy Partitions: A Heuristic for Estimating the Parameters in a Mixture of Normal Distributions
1977|4.0|4.0|Intelligence\/sigart Bulletin|Knowledge-directed learning
1979|2.0|1.0|Pattern Recognition|Stability and stationarity of cursive handwriting
1980|5.0|5.0|Biological Cybernetics|Neocognitron: a self organizing neural network model for a mechanism of pattern recognition unaffected by shift in position.
1982|0|0.0|Biological Cybernetics|Rules of forming receptive fields of formal neurons during unsupervised learning processes
1987|4.0|4.0||G-maximization: An unsupervised learning procedure for discovering regularities
1988|10.0|7.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Bayesian clustering for unsupervised estimation of surface and texture models
1989|56.0|9.0|Neural Networks|Optimal unsupervised learning in a single-layer linear feedforward neural network
1990|15.0|5.0|Machine Learning|A new approach to unsupervised learning in deterministic environments
1991|89.0|3.5|IEEE Transactions on Computers|Neural-network-based fuzzy logic control and decision system
1992|40.0|3.0|IEEE Transactions on Neural Networks|A comparison of neural network and fuzzy clustering techniques in segmenting magnetic resonance images of the brain
1993|85.0|2.0|Statistical Science|Bayesian analysis in expert systems
1994|59.0|2.0|Neural Networks|Growing cell structuresa self-organizing network for unsupervised and supervised learning
1995|88.0|1.0|meeting of the association for computational linguistics|Unsupervised word sense disambiguation rivaling supervised methods
1996|36.0|3.0|Proceedings of the IEEE|Engineering applications of the self-organizing map
1997|179.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Probabilistic visual learning for object representation
1998|146.0|2.0||A tutorial on learning with Bayesian networks
1999|470.0|3.0|ACM Computing Surveys|Data clustering: a review
2000|311.0|3.0|Machine Learning|Text Classification from Labeled and Unlabeled Documents using EM
2001|162.0|5.0|Machine Learning|Unsupervised learning by probabilistic latent semantic analysis
2002|243.0|5.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Unsupervised learning of finite mixture models
2003|244.0|4.0|Journal of Machine Learning Research|Cluster ensembles --- a knowledge reuse framework for combining multiple partitions
2004|139.0|5.0|international conference on machine learning|Integrating constraints and metric learning in semi-supervised clustering
2005|209.0|3.0|acm special interest group on data communication|Mining anomalies using traffic feature distributions
2006|331.0|4.0||A Survey of Clustering Data Mining Techniques
2007|260.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Supervised Learning of Semantic Classes for Image Annotation and Retrieval
2008|344.0|2.0|International Journal of Computer Vision|Unsupervised Learning of Human Action Categories Using Spatial-Temporal Words
2009|495.0|2.0||Learning Deep Architectures for AI
2010|789.0|3.0|IEEE Transactions on Knowledge and Data Engineering|A Survey on Transfer Learning
